ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ABBV,2020,Q3,0.2642,1.0,0.2868,0.9211,1.0,1.0,0.9836,1.0,3.4868,1.0678
ABBV,2020,FY,0.3395,1.0,0.3909,0.8686,1.0,1.0,1.0,1.0,2.5585,1.1512
ABBV,2021,Q1,0.2463,1.0,0.3008,0.8187,1.0,1.0,0.9404,1.0,3.3243,1.1486
ABBV,2021,Q2,0.218,0.4868,0.4893,0.9152,1.0,1.0,0.9678,2.0543,2.0437,1.0575
ABBV,2022,Q3,0.1096,0.2959,0.406,0.9125,0.4489,1.2848,1.0,1.5172,3.1645,1.0959
ABBV,2022,FY,0.3146,0.5981,0.5629,0.9345,1.2674,1.2561,1.0,2.1191,2.2315,1.0701
ABBV,2023,Q1,0.3723,0.6833,0.6537,0.8335,1.0406,1.4962,1.0,1.5229,2.2891,1.1997
ABBV,2023,Q2,0.352,1.1661,0.3377,0.8939,2.0145,1.0341,1.0,1.7276,3.0625,1.1187
ABBV,2023,Q3,0.3977,1.0103,0.4301,0.9154,1.0328,1.3639,1.0,1.0222,3.1712,1.0925
ABBV,2023,FY,0.0498,0.185,0.293,0.9184,0.2463,1.0,1.0,1.3314,3.413,1.0888
ABBV,2024,Q1,0.283,1.1474,0.26,0.9486,0.903,1.0,1.0,0.787,3.8462,1.0542
ABBV,2024,Q2,0.5561,0.8922,0.6673,0.9341,0.9278,1.0841,1.0,1.0398,1.6246,1.0706
ABBV,2024,Q3,0.5745,1.3563,0.4714,0.8985,0.9403,1.0,1.0,0.6932,2.1212,1.113
ABBV,2025,Q1,0.3859,0.7729,0.5172,0.9655,1.007,1.0,1.0,1.3029,1.9334,1.0358
ABBV,2025,Q2,0.6912,0.9798,0.8289,0.8512,1.1026,1.0838,0.9028,1.1253,1.3075,1.0607
ABBV,2025,Q3,0.3594,0.5589,0.764,0.8417,1.1328,1.0119,0.8981,2.0268,1.3245,1.067
ABBV,2025,FY,2.045,3.3743,1.0121,0.5988,4.2766,1.0744,1.0,1.2674,1.0615,1.67
ABBV,2026,Q1,0.7436,0.8893,0.9628,0.8686,1.2187,1.0487,0.9269,1.3704,1.0893,1.0672
