ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ABNB,2021,Q2,0.0954,0.4801,0.2153,0.923,1.0,0.5622,1.0,2.0828,2.6109,1.0835
ABNB,2021,Q3,0.0993,0.3142,0.3558,0.8878,1.0,0.6583,1.0,3.1823,1.8499,1.1264
ABNB,2022,Q1,0.0496,0.3983,0.1366,0.911,1.0,0.4307,1.0,2.5105,3.1531,1.0978
ABNB,2022,Q2,0.2601,0.8178,0.3369,0.9441,1.1348,1.0,1.0,1.3876,2.9682,1.0593
ABNB,2022,Q3,1.6053,3.0496,0.558,0.9434,3.3223,1.23,1.0,1.0894,2.2043,1.06
ABNB,2022,FY,0.0496,0.4029,0.1295,0.95,1.0,0.4242,1.0,2.4817,3.2761,1.0527
ABNB,2023,Q1,0.867,1.4663,0.5586,1.0586,2.0498,1.0,1.1561,1.3979,1.7903,1.0921
ABNB,2023,Q2,1.0345,2.4496,0.4552,0.9278,2.706,1.0,1.0,1.1046,2.1967,1.0779
ABNB,2023,Q3,0.2649,0.4573,0.6103,0.9492,0.6467,2.2015,1.0,1.4143,3.6073,1.0535
ABNB,2023,FY,0.3494,1.398,0.2634,0.9488,1.7738,0.9445,1.0,1.2688,3.5858,1.054
ABNB,2024,Q2,0.286,0.6916,0.4513,0.9165,0.6875,1.0,1.0,0.9941,2.216,1.0911
ABNB,2024,Q3,0.233,0.9866,0.2508,0.9418,1.1779,1.0,1.0,1.1939,3.9871,1.0618
ABNB,2024,FY,0.476,1.0855,0.4627,0.9479,1.4017,1.291,1.0,1.2912,2.7904,1.055
ABNB,2025,Q1,0.544,1.0681,0.566,0.8998,1.1782,1.0,1.0,1.1031,1.7668,1.1113
ABNB,2025,Q2,0.7476,1.0901,0.6799,1.0086,1.2464,1.0,1.072,1.1433,1.4707,1.0629
ABNB,2025,Q3,2.2069,1.5869,1.3218,1.0521,1.2055,1.505,1.1165,0.7596,1.1386,1.0612
ABNB,2025,FY,1.0786,1.1279,1.0986,0.8705,1.4574,1.2581,1.0,1.2922,1.1452,1.1488
ABNB,2026,Q1,0.8958,0.9092,0.9263,1.0637,1.2502,1.0635,1.1298,1.3751,1.1482,1.0622
