ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ADM,2020,Q3,0.5197,1.0,0.4515,1.1511,1.0,1.0,1.1786,1.0,2.215,1.0239
ADM,2021,Q2,0.1047,0.1624,0.5784,1.1148,1.0,1.0348,1.1812,6.1575,1.7889,1.0595
ADM,2021,FY,0.0208,0.3481,0.0633,0.9456,1.0,1.0,1.0,2.8725,15.808,1.0575
ADM,2022,Q1,0.0978,0.4141,0.2114,1.1172,1.0,1.0471,1.1235,2.4151,4.9534,1.0057
ADM,2022,Q2,0.2178,0.2724,0.7044,1.135,0.6524,1.0922,1.1363,2.395,1.5506,1.0011
ADM,2022,Q3,0.5799,0.952,0.5279,1.1539,1.6305,1.0,1.1465,1.7126,1.8942,0.9937
ADM,2023,Q1,0.7133,1.1779,0.5394,1.1227,1.0178,1.0512,1.1473,0.8641,1.9488,1.0219
ADM,2023,FY,0.1373,0.2574,0.6075,0.8779,0.2545,1.0,1.0,0.9887,1.646,1.1391
ADM,2024,FY,2.4334,3.5647,0.6881,0.9921,3.9424,1.0,1.0,1.106,1.4533,1.008
ADM,2025,Q1,0.1464,0.1642,0.7804,1.1423,0.2553,1.0504,1.1139,1.5545,1.346,0.9751
ADM,2025,Q2,0.5357,0.753,0.6344,1.1214,1.5152,1.0125,1.1249,2.0121,1.5959,1.0031
ADM,2025,Q3,0.7714,0.9524,0.7355,1.1012,0.8161,1.0102,1.1111,0.8569,1.3734,1.009
ADM,2025,FY,0.2041,0.2017,0.9276,1.0906,0.2918,1.0449,1.0,1.4463,1.1265,0.917
ADM,2026,Q1,2.0957,2.9122,0.6596,1.091,3.3339,1.015,1.0945,1.1448,1.5388,1.0032
