ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ADP,2020,FY,0.5059,1.0,0.6272,0.8066,1.0,1.029,1.0157,1.0,1.6406,1.2591
ADP,2021,Q2,0.0423,0.1191,0.4134,0.859,1.0,1.0993,1.0207,8.3952,2.659,1.1882
ADP,2021,FY,0.0357,0.4708,0.0822,0.9227,1.0285,1.0,1.0,2.1843,12.1705,1.0837
ADP,2022,Q1,0.0379,0.0857,0.5266,0.8398,1.0,1.2099,1.0,11.6625,2.2975,1.1907
ADP,2022,Q2,0.0655,0.4505,0.15,0.969,1.0964,1.0,1.0136,2.4341,6.6682,1.046
ADP,2022,Q3,0.1747,0.7024,0.2589,0.9607,1.0,1.0,1.0042,1.4236,3.8621,1.0452
ADP,2023,Q1,0.6796,1.2958,0.6011,0.8725,1.1042,1.2237,1.0,0.8521,2.0358,1.1461
ADP,2023,FY,0.2099,0.9767,0.2475,0.8684,1.2004,1.0,1.0,1.229,4.0407,1.1516
ADP,2024,Q1,0.5196,0.9428,0.6335,0.87,1.1,1.2267,1.0,1.1668,1.9363,1.1495
ADP,2024,Q2,0.3409,0.7583,0.504,0.8919,0.5588,1.2273,1.0,0.7369,2.4348,1.1212
ADP,2024,Q3,0.2393,0.4288,0.6299,0.886,0.3983,1.2685,1.0,0.929,2.0138,1.1287
ADP,2024,FY,0.2346,0.8067,0.3222,0.9026,1.0661,1.0,1.0,1.3216,3.1036,1.1079
ADP,2025,Q1,0.3437,0.9693,0.3966,0.8941,1.0704,1.2353,1.0,1.1043,3.1144,1.1185
ADP,2025,Q2,0.3832,0.7983,0.5471,0.8772,1.0631,1.2318,1.0,1.3316,2.2513,1.14
ADP,2025,Q3,0.9261,1.1544,0.8878,0.9036,1.0662,1.2912,1.0,0.9236,1.4544,1.1066
ADP,2025,FY,0.5773,0.6722,0.9818,0.8748,1.0707,1.2475,1.0,1.593,1.2707,1.1431
ADP,2026,Q1,0.5859,0.7471,0.859,0.913,1.1469,1.2434,1.0177,1.5351,1.4476,1.1148
ADP,2026,Q2,0.8626,1.0713,0.8804,0.9146,1.1481,1.2471,1.0107,1.0717,1.4166,1.105
ADP,2026,Q3,1.4866,1.1305,1.2969,1.014,1.1305,1.2969,1.014,1.0,1.0,1.0
