ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
APH,2020,Q2,0.2661,1.0,0.2628,1.0124,1.0,1.0,1.3727,1.0,3.8049,1.356
APH,2020,FY,0.5051,1.0,0.6359,0.7942,1.0,1.0433,1.0,1.0,1.6406,1.2591
APH,2021,Q3,0.0408,0.1292,0.3511,0.8996,1.0,1.5802,1.0,7.7389,4.5013,1.1116
APH,2021,FY,0.0439,0.5791,0.0822,0.9227,1.2648,1.0,1.0,2.1843,12.1705,1.0837
APH,2022,Q1,0.0364,0.0857,0.5053,0.8398,1.0,1.161,1.0,11.6625,2.2975,1.1907
APH,2022,Q2,0.0787,0.5486,0.15,0.9561,1.3353,1.0,1.0,2.4341,6.6682,1.046
APH,2022,Q3,0.2487,0.8521,0.3051,0.9567,1.2131,1.1783,1.0,1.4236,3.8621,1.0452
APH,2023,Q1,1.0198,1.4683,0.5763,1.2052,1.2511,1.1733,1.3813,0.8521,2.0358,1.1461
APH,2023,Q2,0.2664,0.9237,0.3068,0.94,1.182,1.0,1.0,1.2796,3.2595,1.0638
APH,2023,Q3,0.2616,1.2922,0.2173,0.9319,1.1691,1.0,1.0,0.9047,4.6026,1.0731
APH,2024,Q1,0.5362,0.9384,0.5165,1.1064,1.0949,1.0,1.2718,1.1668,1.9363,1.1495
APH,2024,Q2,0.7228,1.5615,0.4107,1.127,1.1508,1.0,1.2636,0.7369,2.4348,1.1212
APH,2024,Q3,0.4598,1.0451,0.4966,0.886,0.9709,1.0,1.0,0.929,2.0138,1.1287
APH,2024,FY,0.3011,0.8782,0.3799,0.9026,1.1606,1.179,1.0,1.3216,3.1036,1.1079
APH,2025,Q2,0.8556,1.1755,0.6568,1.1081,1.5653,1.4787,1.2633,1.3316,2.2513,1.14
APH,2025,Q3,2.0816,2.0964,0.8623,1.1516,1.9362,1.2541,1.2744,0.9236,1.4544,1.1066
APH,2025,FY,0.9719,1.1485,0.9673,0.8748,1.8296,1.2291,1.0,1.593,1.2707,1.1431
APH,2026,Q1,1.2903,1.5244,0.7884,1.0736,2.3401,1.1413,1.1968,1.5351,1.4476,1.1148
