ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
APP,2021,Q1,0.0631,1.0,0.0564,1.1201,1.0,1.0,1.3453,1.0,17.7387,1.201
APP,2021,Q2,0.3478,0.7966,0.5403,0.8081,1.0,0.9461,1.0,1.2553,1.7512,1.2375
APP,2021,Q3,0.0028,0.059,0.0617,0.7671,1.0,0.8098,1.0,16.9419,13.1286,1.3035
APP,2021,FY,0.172,0.4892,0.3862,0.9103,1.0,0.9206,1.0,2.0441,2.3839,1.0986
APP,2022,Q2,0.3038,2.389,0.1231,1.0329,4.6826,1.0,1.4127,1.9601,8.1225,1.3677
APP,2022,Q3,0.8565,4.8918,0.2213,0.7913,5.2382,1.002,1.0,1.0708,4.5281,1.2638
APP,2023,Q1,0.181,0.9259,0.2354,0.8305,1.0357,1.0,1.0,1.1186,4.2485,1.2041
APP,2023,Q2,0.9834,1.0099,0.6686,1.4565,1.0456,1.0,1.4204,1.0353,1.4957,0.9752
APP,2023,Q3,1.1607,2.0135,0.5034,1.1452,1.1651,1.0,1.1732,0.5786,1.9866,1.0245
APP,2023,FY,0.6159,3.6795,0.1844,0.9076,2.2625,1.1219,1.0,0.6149,6.0834,1.1018
APP,2024,Q1,0.3536,1.9511,0.1779,1.0189,1.6918,1.2874,1.2823,0.8671,7.2377,1.2586
APP,2024,FY,0.0972,0.3515,0.3555,0.7778,0.8581,0.9359,1.0,2.4413,2.6324,1.2857
APP,2025,Q1,0.5778,0.9732,0.5456,1.0882,1.4025,1.6351,1.1888,1.4411,2.9971,1.0924
APP,2025,Q2,1.7237,1.8805,0.6996,1.3102,1.6497,1.0,1.3986,0.8773,1.4293,1.0675
APP,2025,Q3,1.5742,1.1698,0.9891,1.3606,1.6408,1.2797,1.4812,1.4027,1.2938,1.0887
APP,2025,FY,2.9607,1.5021,1.9957,0.9876,1.9455,2.5528,1.0,1.2952,1.2791,1.0126
APP,2026,Q1,2.5927,1.0298,1.8922,1.3305,1.2415,2.8931,1.4803,1.2055,1.529,1.1126
