ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ARW,2020,Q3,0.4064,1.0,0.4263,0.9534,1.0,1.0,1.1379,1.0,2.3458,1.1935
ARW,2020,FY,0.4841,1.0,0.6095,0.7942,1.0,1.0,1.0,1.0,1.6406,1.2591
ARW,2021,Q1,0.0032,0.0132,0.2706,0.9034,1.0,1.0,1.1379,75.587,3.6958,1.2596
ARW,2021,Q2,0.0426,0.1191,0.3761,0.9508,1.0,1.0,1.1298,8.3952,2.659,1.1882
ARW,2021,Q3,0.0127,0.0544,0.23,1.017,0.421,1.0353,1.1304,7.7389,4.5013,1.1116
ARW,2022,FY,0.3357,1.1736,0.3426,0.8347,1.2947,1.0,1.0,1.1032,2.9185,1.198
ARW,2023,Q1,0.5443,1.2699,0.4912,0.8725,1.0821,1.0,1.0,0.8521,2.0358,1.1461
ARW,2023,Q2,0.1258,0.4362,0.3068,0.94,0.5582,1.0,1.0,1.2796,3.2595,1.0638
ARW,2023,Q3,0.2616,1.0397,0.2385,1.0548,0.9406,1.0978,1.1318,0.9047,4.6026,1.0731
ARW,2023,FY,0.1603,0.7256,0.2544,0.8684,0.8918,1.0281,1.0,1.229,4.0407,1.1516
ARW,2024,Q1,0.3707,0.8252,0.5165,0.87,0.9628,1.0,1.0,1.1668,1.9363,1.1495
ARW,2024,Q2,0.4602,1.2212,0.4225,0.8919,0.9,1.0287,1.0,0.7369,2.4348,1.1212
ARW,2025,Q1,0.2312,0.7063,0.3249,1.0075,0.78,1.0118,1.1268,1.1043,3.1144,1.1185
ARW,2025,Q2,0.2908,0.6685,0.4442,0.9794,0.8902,1.0,1.1165,1.3316,2.2513,1.14
ARW,2025,Q3,0.7463,1.0429,0.6974,1.026,0.9632,1.0144,1.1354,0.9236,1.4544,1.1066
ARW,2025,FY,0.4103,0.585,0.8018,0.8748,0.9319,1.0189,1.0,1.593,1.2707,1.1431
ARW,2026,Q1,0.6181,0.9057,0.7085,0.9633,1.3903,1.0256,1.0739,1.5351,1.4476,1.1148
