ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
BAC,2021,Q2,0.0969,0.4728,0.2166,0.9463,1.0,1.0,1.0,2.1151,4.6159,1.0567
BAC,2021,Q3,0.3605,0.9006,0.4106,0.9749,1.0,1.3158,1.0,1.1104,3.2045,1.0257
BAC,2022,Q1,0.0806,0.1566,0.5252,0.9794,1.0,1.545,1.0,6.3858,2.9415,1.0211
BAC,2022,Q2,0.3018,0.983,0.325,0.9446,0.9821,1.0,1.0,0.9991,3.0769,1.0587
BAC,2022,Q3,0.4396,0.5984,0.7546,0.9736,1.2049,1.4065,1.0,2.0136,1.864,1.0271
BAC,2022,FY,0.1978,0.3884,0.5035,1.0113,1.0,1.2646,1.0,2.5745,2.5116,0.9889
BAC,2023,Q1,1.1733,1.4392,0.8295,0.9828,1.0178,1.4373,1.0,0.7072,1.7328,1.0175
BAC,2023,Q2,0.517,0.67,0.8173,0.9441,0.5123,1.38,1.0,0.7646,1.6885,1.0592
BAC,2023,Q3,0.4664,1.3218,0.3745,0.9422,1.0271,1.0,1.0,0.7771,2.6701,1.0613
BAC,2023,FY,0.5238,1.1112,0.4971,0.9483,1.0419,1.5597,1.0,0.9376,3.1376,1.0545
BAC,2024,Q1,0.472,0.699,0.7314,0.9233,1.1304,1.451,1.0,1.6173,1.9839,1.0831
BAC,2024,Q2,0.47,0.7151,0.6877,0.9558,1.1106,1.4164,1.0,1.5531,2.0597,1.0463
BAC,2024,FY,0.2181,0.9126,0.3393,0.7043,1.0655,1.0,1.0,1.1676,2.9473,1.4199
BAC,2025,Q1,0.6536,1.0011,0.7274,0.8976,0.9832,1.3486,1.0,0.9822,1.854,1.1141
BAC,2025,Q2,1.3212,0.8959,1.5598,0.9455,1.0502,2.2143,1.0,1.1723,1.4196,1.0577
BAC,2025,Q3,0.6359,0.6381,1.0317,0.966,1.1161,1.4317,1.0,1.7491,1.3877,1.0352
BAC,2025,FY,0.7792,0.7407,1.0678,0.9852,1.1911,1.3694,1.0,1.608,1.2825,1.015
BAC,2026,Q1,0.8917,0.8101,1.1295,0.9746,1.1725,1.3958,1.0,1.4474,1.2358,1.0261
