ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
BAH,2021,Q3,0.1594,0.5497,0.2667,1.0875,1.0,1.0749,1.2569,1.8193,4.0308,1.1558
BAH,2021,FY,0.2332,1.0634,0.2372,0.9244,1.0,1.084,1.0,0.9404,4.5697,1.0818
BAH,2022,Q2,0.2771,0.7303,0.4141,0.9162,1.0,1.0354,1.0,1.3694,2.5004,1.0914
BAH,2022,Q3,0.1407,0.3682,0.3613,1.0573,0.3453,1.0678,1.1915,0.9378,2.9554,1.1269
BAH,2023,Q1,0.2268,0.7745,0.3125,0.9368,1.0,1.0486,1.0,1.2911,3.3549,1.0674
BAH,2023,Q2,0.2191,0.5779,0.4208,0.901,0.5297,1.0794,1.0,0.9167,2.5652,1.1099
BAH,2023,Q3,1.5055,3.0316,0.4532,1.0958,3.3615,1.0,1.1303,1.1088,2.2067,1.0314
BAH,2024,Q1,0.6721,1.2768,0.5388,0.977,1.3345,1.0647,1.0651,1.0452,1.9762,1.0902
BAH,2024,Q2,0.4586,0.855,0.5611,0.956,1.0916,1.1552,1.0,1.2768,2.059,1.046
BAH,2024,FY,0.3579,0.9162,0.4251,0.919,1.0642,1.0,1.0,1.1616,2.3526,1.0881
BAH,2025,Q2,1.0704,1.8359,0.6272,0.9296,2.3144,1.0331,1.0,1.2606,1.6473,1.0757
BAH,2025,Q3,1.2621,1.3687,0.8457,1.0903,1.3193,1.0,1.162,0.9639,1.1825,1.0657
BAH,2025,FY,0.7105,1.0323,0.8648,0.7959,1.4324,1.0,1.0,1.3875,1.1563,1.2565
BAH,2026,Q1,0.6571,0.7752,0.8916,0.9507,1.1083,1.0594,1.0,1.4297,1.1883,1.0518
BAH,2026,Q2,0.6976,0.5432,1.0645,1.2065,0.5432,1.0645,1.2065,1.0,1.0,1.0
BAH,2026,Q3,0.4703,0.2909,1.3273,1.218,0.2909,1.3273,1.218,1.0,1.0,1.0
BAH,2026,FY,1.0132,0.9363,1.0821,1.0,0.9363,1.0821,1.0,1.0,1.0,1.0
BAH,2027,Q1,1.1966,0.9517,1.0761,1.1684,0.9517,1.0761,1.1684,1.0,1.0,1.0
