ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
BAX,2020,FY,0.3395,1.0,0.3909,0.8686,1.0,1.0,1.0,1.0,2.5585,1.1512
BAX,2021,Q1,0.3939,1.0,0.3349,1.176,1.0,1.1134,1.3508,1.0,3.3243,1.1486
BAX,2021,Q2,0.3171,0.4868,0.5149,1.265,1.0,1.0524,1.3377,2.0543,2.0437,1.0575
BAX,2021,Q3,0.6551,0.8573,0.6572,1.1627,1.0,1.0,1.3339,1.1664,1.5216,1.1472
BAX,2022,FY,0.9379,2.0267,0.4952,0.9345,4.2947,1.1051,1.0,2.1191,2.2315,1.0701
BAX,2023,Q2,0.1999,0.685,0.3265,0.8939,1.1833,1.0,1.0,1.7276,3.0625,1.1187
BAX,2023,FY,0.3029,0.9334,0.2967,1.0936,1.2427,1.0126,1.1907,1.3314,3.413,1.0888
BAX,2024,Q2,0.6175,0.9956,0.5933,1.0453,1.0352,0.9639,1.1191,1.0398,1.6246,1.0706
BAX,2024,Q3,1.6552,3.5249,0.4639,1.0122,2.4436,0.984,1.1265,0.6932,2.1212,1.113
BAX,2024,FY,0.0401,0.1538,0.3158,0.8256,0.1898,0.8437,1.0,1.2338,2.6715,1.2113
BAX,2025,Q1,0.324,0.6487,0.5172,0.9655,0.8452,1.0,1.0,1.3029,1.9334,1.0358
BAX,2025,Q2,0.3316,0.3373,0.7904,1.2439,0.3795,1.0335,1.3193,1.1253,1.3075,1.0607
BAX,2025,Q3,0.1636,0.1774,0.8034,1.1477,0.3596,1.0642,1.2246,2.0268,1.3245,1.067
BAX,2025,FY,1.6753,3.2225,0.8682,0.5988,4.0843,0.9216,1.0,1.2674,1.0615,1.67
BAX,2026,Q1,0.8319,0.7915,0.913,1.1511,1.0847,0.9945,1.2285,1.3704,1.0893,1.0672
