ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
BA,2020,FY,0.4423,1.0,0.507,0.8723,1.0,0.8735,1.0,1.0,1.7229,1.1464
BA,2021,Q3,0.1308,0.5497,0.2481,0.9593,1.0,1.0,1.1087,1.8193,4.0308,1.1558
BA,2022,Q1,0.2944,0.5732,0.5122,1.0027,1.0,0.9199,1.0907,1.7445,1.7957,1.0878
BA,2022,Q2,0.2716,0.7303,0.3768,0.987,1.0,0.9421,1.0772,1.3694,2.5004,1.0914
BA,2023,Q1,0.2914,0.9921,0.2981,0.9854,1.2809,1.0,1.0518,1.2911,3.3549,1.0674
BA,2023,Q3,0.1044,0.303,0.3554,0.9695,0.336,0.7842,1.0,1.1088,2.2067,1.0314
BA,2023,FY,0.2786,0.9311,0.3722,0.8038,1.3376,0.9722,1.0,1.4366,2.6121,1.2441
BA,2024,Q1,0.4205,0.8846,0.4957,0.9588,0.9246,0.9797,1.0454,1.0452,1.9762,1.0902
BA,2024,Q2,0.3584,0.7919,0.4475,1.0114,1.0111,0.9214,1.058,1.2768,2.059,1.046
BA,2024,Q3,1.1718,2.6673,0.4612,0.9525,3.4956,0.9715,1.0,1.3106,2.1063,1.0499
BA,2024,FY,0.288,0.7371,0.4251,0.919,0.8562,1.0,1.0,1.1616,2.3526,1.0881
BA,2025,Q2,1.1838,1.9869,0.5979,0.9964,2.5047,0.985,1.0719,1.2606,1.6473,1.0757
BA,2025,Q3,0.2954,0.4328,0.6879,0.9922,0.4172,0.8134,1.0573,0.9639,1.1825,1.0657
BA,2025,FY,0.6833,0.968,0.887,0.7959,1.3431,1.0256,1.0,1.3875,1.1563,1.2565
BA,2026,Q1,0.7918,0.9378,0.8413,1.0036,1.3409,0.9997,1.0556,1.4297,1.1883,1.0518
