ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
BC,2020,Q2,0.367,1.0,0.4074,0.9008,1.0,1.0,1.0,1.0,2.4544,1.1102
BC,2020,FY,0.3777,1.0,0.4653,0.8118,1.0,1.4727,1.0,1.0,3.1652,1.2318
BC,2021,Q2,0.2939,0.7345,0.4336,0.923,1.5297,1.1321,1.0,2.0828,2.6109,1.0835
BC,2021,Q3,0.1508,0.3142,0.5406,0.8878,1.0,1.0,1.0,3.1823,1.8499,1.1264
BC,2022,Q1,0.1353,0.3983,0.3171,1.0712,1.0,1.0,1.1759,2.5105,3.1531,1.0978
BC,2022,FY,0.6855,2.3641,0.3052,0.95,5.867,1.0,1.0,2.4817,3.2761,1.0527
BC,2023,Q1,0.4451,0.8703,0.5586,0.9157,1.2166,1.0,1.0,1.3979,1.7903,1.0921
BC,2023,Q2,0.5686,1.0699,0.4552,1.1674,1.1818,1.0,1.2584,1.1046,2.1967,1.0779
BC,2023,Q3,0.0978,0.272,0.3068,1.1718,0.3846,1.1068,1.2345,1.4143,3.6073,1.0535
BC,2023,FY,0.1992,0.6764,0.3104,0.9488,0.8582,1.1129,1.0,1.2688,3.5858,1.054
BC,2024,Q1,0.4297,0.8553,0.5359,0.9375,0.7829,1.0,1.0,0.9153,1.866,1.0667
BC,2024,Q2,0.5044,0.9816,0.4513,1.1386,0.9758,1.0,1.2423,0.9941,2.216,1.0911
BC,2024,Q3,0.1483,0.628,0.2508,0.9418,0.7498,1.0,1.0,1.1939,3.9871,1.0618
BC,2024,FY,0.2357,0.6938,0.3584,0.9479,0.8958,1.0,1.0,1.2912,2.7904,1.055
BC,2025,Q1,0.4133,0.8114,0.566,0.8998,0.8951,1.0,1.0,1.1031,1.7668,1.1113
BC,2025,Q2,0.2791,0.3673,0.6799,1.1175,0.4199,1.0,1.1878,1.1433,1.4707,1.0629
BC,2025,Q3,1.2014,1.4063,0.7487,1.1411,1.0682,0.8524,1.2109,0.7596,1.1386,1.0612
BC,2025,FY,0.5874,0.7925,0.8514,0.8705,1.024,0.975,1.0,1.2922,1.1452,1.1488
BC,2026,Q1,0.7596,0.8203,0.8844,1.0471,1.1279,1.0155,1.1122,1.3751,1.1482,1.0622
