ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
BEN,2020,Q3,0.501,1.0,0.5306,0.9442,1.0,1.0,1.0,1.0,1.8848,1.0591
BEN,2021,FY,0.1893,1.1621,0.1667,0.9773,1.0,1.0,1.0,0.8605,5.9982,1.0233
BEN,2022,Q1,0.065,0.1566,0.4238,0.9794,1.0,1.2467,1.0,6.3858,2.9415,1.0211
BEN,2022,Q2,0.4728,1.0009,0.5001,0.9446,1.0,1.5388,1.0,0.9991,3.0769,1.0587
BEN,2022,Q3,0.1431,0.274,0.5365,0.9736,0.5516,1.0,1.0,2.0136,1.864,1.0271
BEN,2022,FY,0.1536,0.3815,0.3982,1.0113,0.9822,1.0,1.0,2.5745,2.5116,0.9889
BEN,2023,Q1,0.8635,1.3942,0.6301,0.9828,0.986,1.0919,1.0,0.7072,1.7328,1.0175
BEN,2023,Q2,0.7329,1.3107,0.5923,0.9441,1.0022,1.0,1.0,0.7646,1.6885,1.0592
BEN,2023,Q3,1.3242,3.7525,0.3745,0.9422,2.9161,1.0,1.0,0.7771,2.6701,1.0613
BEN,2024,Q2,0.3402,0.5963,0.597,0.9558,0.9261,1.2296,1.0,1.5531,2.0597,1.0463
BEN,2024,Q3,0.6616,1.3557,0.5098,0.9574,0.989,1.0961,1.0,0.7295,2.1503,1.0445
BEN,2025,Q1,0.571,1.0306,0.6173,0.8976,1.0122,1.1444,1.0,0.9822,1.854,1.1141
BEN,2025,Q2,0.7316,0.9346,0.828,0.9455,1.0956,1.1754,1.0,1.1723,1.4196,1.0577
BEN,2025,Q3,0.1389,0.1883,0.7638,0.966,0.3294,1.0599,1.0,1.7491,1.3877,1.0352
BEN,2025,FY,0.5401,0.6591,0.8318,0.9852,1.0599,1.0668,1.0,1.608,1.2825,1.015
BEN,2026,Q1,0.7154,0.8075,0.909,0.9746,1.1688,1.1233,1.0,1.4474,1.2358,1.0261
BEN,2026,Q2,1.2803,1.0869,1.1779,1.0,1.0869,1.1779,1.0,1.0,1.0,1.0
