ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
BKR,2020,Q3,0.1242,1.0,0.1206,1.0299,1.0,0.3228,1.1265,1.0,2.6775,1.0937
BKR,2021,Q1,0.0039,0.0442,0.0811,1.0915,1.0,1.0,1.166,22.6014,12.3247,1.0682
BKR,2021,Q2,0.2454,0.6024,0.384,1.0608,1.0,1.0,1.1652,1.66,2.6044,1.0985
BKR,2022,Q3,0.3695,0.5401,0.7294,0.938,1.0087,1.0016,1.0,1.8677,1.3732,1.0661
BKR,2022,FY,0.6054,1.9321,0.3085,1.0157,1.0,0.9724,1.0,0.5176,3.1519,0.9845
BKR,2023,Q1,0.1276,1.2524,0.1111,0.9166,1.0111,1.0168,1.0,0.8073,9.1519,1.0909
BKR,2023,Q2,0.2047,0.4676,0.4703,0.9309,0.5086,0.8577,1.0,1.0877,1.8239,1.0743
BKR,2023,Q3,1.0029,1.2583,0.7802,1.0216,1.3039,1.2925,1.0842,1.0363,1.6567,1.0613
BKR,2023,FY,0.0278,0.3244,0.0936,0.9154,1.2056,1.0825,1.0,3.7159,11.5671,1.0924
BKR,2024,Q1,0.4007,0.7774,0.5552,0.9282,1.1822,1.0,1.0,1.5206,1.8011,1.0774
BKR,2024,Q2,1.0482,1.9831,0.5875,0.8996,1.2512,1.0702,1.0,0.6309,1.8216,1.1115
BKR,2025,Q1,0.4698,1.1035,0.3998,1.065,1.1244,1.0667,1.1017,1.019,2.6682,1.0344
BKR,2025,Q2,0.7384,0.7255,0.9401,1.0826,1.0942,1.1147,1.1207,1.5082,1.1857,1.0352
BKR,2025,Q3,0.7333,0.6757,1.0147,1.0694,1.0556,1.0965,1.1212,1.5621,1.0806,1.0484
BKR,2025,FY,0.6751,1.0412,1.0047,0.6453,1.0873,1.1045,1.0,1.0443,1.0993,1.5496
BKR,2026,Q1,1.1795,0.8956,1.0731,1.2273,1.0249,1.166,1.287,1.1444,1.0867,1.0486
