ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
BRBR,2020,FY,0.5308,1.0,0.6386,0.8312,1.0,1.0,1.0,1.0,1.5659,1.2031
BRBR,2021,Q3,0.0523,0.7809,0.0666,1.0063,1.0,1.0205,1.0,1.2806,15.3201,0.9938
BRBR,2022,Q1,0.0855,0.4141,0.2076,0.9943,1.0,1.0284,1.0,2.4151,4.9534,1.0057
BRBR,2022,Q2,0.269,0.4175,0.6449,0.9989,1.0,1.0,1.0,2.395,1.5506,1.0011
BRBR,2022,Q3,0.1589,0.2835,0.557,1.0064,0.4855,1.0551,1.0,1.7126,1.8942,0.9937
BRBR,2023,Q1,0.7235,1.256,0.5886,0.9786,1.0853,1.1471,1.0,0.8641,1.9488,1.0219
BRBR,2023,Q2,0.13,0.5091,0.237,1.0776,0.5584,1.0,1.0,1.0968,4.2197,0.928
BRBR,2023,Q3,0.4631,0.6152,0.7303,1.0308,1.0817,1.0,1.0,1.7583,1.3693,0.9701
BRBR,2023,FY,2.3805,4.4635,0.6075,0.8779,4.413,1.0,1.0,0.9887,1.646,1.1391
BRBR,2024,Q1,0.3608,1.221,0.2773,1.0657,1.1834,1.1388,1.0,0.9692,4.1074,0.9383
BRBR,2024,Q2,2.8166,3.6037,0.5377,1.4535,1.5692,1.0,1.4369,0.4354,1.8597,0.9885
BRBR,2024,Q3,0.4394,2.0317,0.2208,0.9793,1.2032,1.0,1.0,0.5922,4.5286,1.0211
BRBR,2024,FY,0.6788,0.9944,0.6881,0.9921,1.0998,1.0,1.0,1.106,1.4533,1.008
BRBR,2025,Q1,0.6476,0.7633,0.8273,1.0255,1.1867,1.1136,1.0,1.5545,1.346,0.9751
BRBR,2025,Q2,0.5275,0.5908,0.6266,1.4248,1.1888,1.0,1.4292,2.0121,1.5959,1.0031
BRBR,2025,Q3,1.4682,1.4328,0.7572,1.3533,1.2279,1.0399,1.3655,0.8569,1.3734,1.009
BRBR,2025,FY,1.247,1.1679,0.9791,1.0906,1.6891,1.1029,1.0,1.4463,1.1265,0.917
BRBR,2026,Q1,1.0052,1.0905,0.7074,1.303,1.2484,1.0885,1.3072,1.1448,1.5388,1.0032
BRBR,2026,Q2,1.5909,1.0182,1.1489,1.3599,1.0182,1.1489,1.3599,1.0,1.0,1.0
