ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
BXP,2021,Q2,0.2446,0.6477,0.4444,0.8496,1.0,1.0,1.0,1.544,2.2501,1.177
BXP,2021,Q3,0.2301,0.4542,0.5063,1.0008,1.0,1.0595,1.0,2.2018,2.0926,0.9992
BXP,2022,Q1,0.1431,0.2348,0.6427,0.9483,1.0,1.1641,1.0,4.2584,1.8113,1.0545
BXP,2022,Q3,0.0773,0.2462,0.3276,0.9583,0.3475,1.0,1.0,1.4119,3.0526,1.0435
BXP,2022,FY,0.118,0.2788,0.4231,1.0,1.0,1.0,1.0,3.5863,2.3635,1.0
BXP,2023,Q1,0.4314,0.8237,0.5096,1.0276,1.0569,1.3065,1.0,1.2831,2.5635,0.9732
BXP,2023,Q2,0.5087,1.121,0.4435,1.0233,1.1448,1.0,1.0,1.0212,2.2549,0.9772
BXP,2023,Q3,1.21,2.73,0.4976,0.8907,3.1761,1.0,1.0,1.1634,2.0096,1.1227
BXP,2023,FY,0.5454,0.8164,0.5103,1.3092,0.9292,1.28,1.0,1.1383,2.5083,0.7638
BXP,2024,Q1,0.6297,1.376,0.3548,1.2897,1.1129,1.1052,1.0,0.8087,3.1149,0.7754
BXP,2024,Q3,0.1051,0.3818,0.2631,1.0461,0.3555,0.8805,1.0,0.9312,3.3466,0.9559
BXP,2024,FY,0.5046,1.1894,0.4035,1.0513,1.1797,1.0,1.0,0.9918,2.4782,0.9512
BXP,2025,Q2,0.5046,0.6007,0.8511,0.987,1.0628,1.1141,1.0,1.7692,1.3091,1.0132
BXP,2025,Q3,0.7056,0.8118,0.8632,1.0068,1.0573,1.0337,1.0,1.3024,1.1975,0.9933
BXP,2025,FY,0.598,0.6225,0.8919,1.077,1.0219,1.0864,1.0,1.6414,1.218,0.9285
BXP,2026,FY,0.2955,0.2505,1.1799,1.0,0.2505,1.1799,1.0,1.0,1.0,1.0
