ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CAG,2021,Q1,0.0035,0.0163,0.2184,0.9869,1.0,1.0,0.9817,61.3575,4.5793,0.9948
CAG,2022,Q1,0.0813,0.4101,0.2019,0.9815,0.9904,1.0,0.9871,2.4151,4.9534,1.0057
CAG,2022,Q2,0.269,0.4175,0.6449,0.9989,1.0,1.0,1.0,2.395,1.5506,1.0011
CAG,2022,Q3,0.3102,0.5839,0.5279,1.0064,1.0,1.0,1.0,1.7126,1.8942,0.9937
CAG,2023,Q2,0.138,0.4915,0.2605,1.0776,0.5391,1.0991,1.0,1.0968,4.2197,0.928
CAG,2023,Q3,0.1477,0.1962,0.7303,1.0308,0.345,1.0,1.0,1.7583,1.3693,0.9701
CAG,2023,FY,0.5394,1.0115,0.6075,0.8779,1.0,1.0,1.0,0.9887,1.646,1.1391
CAG,2024,Q1,0.293,1.1294,0.2435,1.0657,1.0946,1.0,1.0,0.9692,4.1074,0.9383
CAG,2024,Q2,2.5391,4.6678,0.5377,1.0116,2.0325,1.0,1.0,0.4354,1.8597,0.9885
CAG,2024,Q3,0.3868,1.7888,0.2208,0.9793,1.0593,1.0,1.0,0.5922,4.5286,1.0211
CAG,2024,FY,0.6366,0.9326,0.6881,0.9921,1.0314,1.0,1.0,1.106,1.4533,1.008
CAG,2025,Q1,0.49,0.6432,0.7429,1.0255,0.9999,1.0,1.0,1.5545,1.346,0.9751
CAG,2025,Q2,0.266,0.4788,0.6266,0.8864,0.9635,1.0,0.8892,2.0121,1.5959,1.0031
CAG,2025,Q3,0.9212,1.1467,0.8106,0.9911,0.9826,1.1133,1.0,0.8569,1.3734,1.009
CAG,2025,FY,0.7124,0.7359,0.8877,1.0906,1.0642,1.0,1.0,1.4463,1.1265,0.917
CAG,2026,Q1,0.5227,0.7919,0.6499,1.0157,0.9065,1.0,1.019,1.1448,1.5388,1.0032
CAG,2026,Q2,0.3914,0.4973,0.8178,0.9624,0.4973,0.8178,0.9624,1.0,1.0,1.0
CAG,2026,Q3,2.7401,2.7695,1.0244,0.9659,2.7695,1.0244,0.9659,1.0,1.0,1.0
CAG,2026,FY,0.7595,0.9189,0.8548,0.9669,0.9189,0.8548,0.9669,1.0,1.0,1.0
