ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CARR,2020,Q3,0.2501,1.0,0.2316,1.0797,1.0,1.0,1.2167,1.0,4.3174,1.1269
CARR,2021,Q2,0.0641,0.2709,0.2671,0.8855,1.0,1.0,1.0,3.6914,3.7439,1.1293
CARR,2021,Q3,0.1917,0.6615,0.2722,1.0645,1.2035,1.097,1.2303,1.8193,4.0308,1.1558
CARR,2022,Q1,0.3202,0.5732,0.6076,0.9193,1.0,1.091,1.0,1.7445,1.7957,1.0878
CARR,2022,Q2,0.6709,0.958,0.6438,1.0876,1.3119,1.6098,1.187,1.3694,2.5004,1.0914
CARR,2022,FY,0.2626,0.5877,0.4966,0.8997,1.0,1.1298,1.0,1.7015,2.2753,1.1114
CARR,2023,Q1,0.2142,0.7671,0.2981,0.9368,0.9904,1.0,1.0,1.2911,3.3549,1.0674
CARR,2023,Q3,0.1846,0.3176,0.5997,0.9695,0.3521,1.3234,1.0,1.1088,2.2067,1.0314
CARR,2023,FY,0.2757,0.822,0.4173,0.8038,1.1809,1.0899,1.0,1.4366,2.6121,1.2441
CARR,2024,Q1,0.6849,1.2709,0.5308,1.0153,1.3283,1.049,1.1069,1.0452,1.9762,1.0902
CARR,2024,Q2,0.4182,0.9006,0.4857,0.956,1.1499,1.0,1.0,1.2768,2.059,1.046
CARR,2024,FY,0.0993,0.1803,0.4251,1.296,0.2094,1.0,1.4102,1.1616,2.3526,1.0881
CARR,2025,Q2,0.4807,0.8093,0.6071,0.9785,1.0202,1.0,1.0526,1.2606,1.6473,1.0757
CARR,2025,Q3,0.9586,1.0618,0.9208,0.9805,1.0235,1.0888,1.0449,0.9639,1.1825,1.0657
CARR,2025,FY,2.6962,3.6314,0.9329,0.7959,5.0387,1.0787,1.0,1.3875,1.1563,1.2565
CARR,2026,Q1,0.5171,0.6043,0.8855,0.9665,0.864,1.0522,1.0165,1.4297,1.1883,1.0518
