ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CART,2023,Q3,0.1967,0.7071,0.293,0.9492,1.0,1.057,1.0,1.4143,3.6073,1.0535
CART,2023,FY,0.2005,0.7881,0.2682,0.9488,1.0,0.9617,1.0,1.2688,3.5858,1.054
CART,2024,Q1,0.8551,1.0925,0.5359,1.4605,1.0,1.0,1.5578,0.9153,1.866,1.0667
CART,2024,Q2,0.4948,1.006,0.5367,0.9165,1.0,1.1894,1.0,0.9941,2.216,1.0911
CART,2024,Q3,0.3504,2.8075,0.1325,0.9418,3.3518,0.5283,1.0,1.1939,3.9871,1.0618
CART,2024,FY,0.4397,1.0772,0.4306,0.9479,1.3909,1.2016,1.0,1.2912,2.7904,1.055
CART,2025,Q2,1.0653,1.1165,0.6799,1.4033,1.2765,1.0,1.4915,1.1433,1.4707,1.0629
CART,2025,Q3,0.8304,0.5521,1.0374,1.45,0.4194,1.1811,1.5387,0.7596,1.1386,1.0612
CART,2025,FY,0.98,1.1352,0.9917,0.8705,1.4669,1.1357,1.0,1.2922,1.1452,1.1488
CART,2026,Q1,1.1494,0.9037,1.0143,1.2539,1.2427,1.1646,1.3319,1.3751,1.1482,1.0622
