ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CASY,2022,Q1,0.1221,0.3983,0.3364,0.911,1.0,1.0608,1.0,2.5105,3.1531,1.0978
CASY,2022,Q2,0.2292,0.7207,0.3369,0.9441,1.0,1.0,1.0,1.3876,2.9682,1.0593
CASY,2022,Q3,0.3928,0.9179,0.4536,0.9434,1.0,1.0,1.0,1.0894,2.2043,1.06
CASY,2023,Q1,0.5531,1.0813,0.5586,0.9157,1.5116,1.0,1.0,1.3979,1.7903,1.0921
CASY,2023,Q2,0.563,1.333,0.4552,0.9278,1.4725,1.0,1.0,1.1046,2.1967,1.0779
CASY,2023,Q3,0.3111,1.0735,0.3053,0.9492,1.5183,1.1011,1.0,1.4143,3.6073,1.0535
CASY,2023,FY,0.2163,0.7881,0.2893,0.9488,1.0,1.0373,1.0,1.2688,3.5858,1.054
CASY,2024,Q1,0.6878,1.3285,0.5359,0.9661,1.216,1.0,1.0305,0.9153,1.866,1.0667
CASY,2024,Q2,1.0753,2.6,0.4513,0.9165,2.5845,1.0,1.0,0.9941,2.216,1.0911
CASY,2024,Q3,0.223,0.9156,0.2586,0.9418,1.0931,1.031,1.0,1.1939,3.9871,1.0618
CASY,2024,FY,0.4019,1.152,0.368,0.9479,1.4876,1.0269,1.0,1.2912,2.7904,1.055
CASY,2025,Q1,0.462,0.96,0.566,0.8502,1.0591,1.0,0.9449,1.1031,1.7668,1.1113
CASY,2025,Q2,0.2626,0.4093,0.7126,0.9004,0.468,1.048,0.957,1.1433,1.4707,1.0629
CASY,2025,Q3,1.1177,1.3151,0.9018,0.9424,0.999,1.0268,1.0,0.7596,1.1386,1.0612
CASY,2025,FY,0.675,0.888,0.8732,0.8705,1.1475,1.0,1.0,1.2922,1.1452,1.1488
CASY,2026,Q1,0.6721,0.8105,0.8709,0.9521,1.1145,1.0,1.0113,1.3751,1.1482,1.0622
CASY,2026,Q2,1.1603,1.1417,1.0,1.0162,1.1417,1.0,1.0162,1.0,1.0,1.0
CASY,2026,Q3,1.2335,1.1763,1.0344,1.0138,1.1763,1.0344,1.0138,1.0,1.0,1.0
CASY,2026,FY,1.2357,1.1815,1.0424,1.0033,1.1815,1.0424,1.0033,1.0,1.0,1.0
