ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CCI,2020,Q2,0.2264,1.0,0.2181,1.0382,1.0,1.0,1.205,1.0,4.5856,1.1607
CCI,2020,Q3,0.1331,1.0,0.1571,0.8477,1.0,1.0,0.8504,1.0,6.3673,1.0033
CCI,2020,FY,0.1147,1.0,0.1147,1.0,1.0,1.0,1.0,1.0,8.7205,1.0
CCI,2021,Q1,0.0418,0.1474,0.3742,0.7567,1.0,1.0,0.8473,6.7824,2.6723,1.1198
CCI,2022,Q2,0.0383,0.105,0.4527,0.8058,0.1903,1.0,1.0,1.8121,2.2088,1.241
CCI,2022,Q3,0.1105,0.0719,1.6052,0.9583,0.1014,4.9,1.0,1.4119,3.0526,1.0435
CCI,2023,Q1,3.8461,11.9117,0.3901,0.8277,15.2845,1.0,0.8055,1.2831,2.5635,0.9732
CCI,2023,Q2,2.3953,6.6723,0.4435,0.8095,6.8139,1.0,0.7911,1.0212,2.2549,0.9772
CCI,2023,Q3,0.0592,0.1754,0.4976,0.6784,0.2041,1.0,0.7616,1.1634,2.0096,1.1227
CCI,2023,FY,4.7055,11.8028,0.3987,1.0,13.4346,1.0,0.7638,1.1383,2.5083,0.7638
CCI,2024,Q1,0.0114,0.037,0.321,0.9645,0.0299,1.0,0.7478,0.8087,3.1149,0.7754
CCI,2024,Q3,18.0841,58.6944,0.3626,0.8498,54.6556,1.2134,0.8123,0.9312,3.3466,0.9559
CCI,2024,FY,0.2522,0.9479,0.2531,1.0513,0.9402,0.6273,1.0,0.9918,2.4782,0.9512
CCI,2025,Q1,6.2488,14.3596,0.5057,0.8604,20.0189,1.0,0.7165,1.3941,1.9773,0.8327
CCI,2025,Q2,0.2937,0.6421,0.7063,0.6476,1.136,0.9246,0.6561,1.7692,1.3091,1.0132
CCI,2025,Q3,0.1043,0.1673,0.9709,0.642,0.2179,1.1627,0.6376,1.3024,1.1975,0.9933
CCI,2025,FY,0.0176,0.0199,0.821,1.077,0.0327,1.0,1.0,1.6414,1.218,0.9285
CCI,2026,Q1,0.0179,0.0318,0.8156,0.69,0.0462,1.0,0.6435,1.4533,1.226,0.9327
