ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CCK,2020,Q2,0.3939,1.0,0.4171,0.9444,1.0,1.0237,1.0485,1.0,2.4544,1.1102
CCK,2021,Q1,0.0009,0.008,0.1089,1.0044,1.0,1.0,1.0701,124.4843,9.1836,1.0655
CCK,2021,Q2,0.2012,0.4778,0.3923,1.0736,0.9952,1.0242,1.1632,2.0828,2.6109,1.0835
CCK,2021,Q3,0.1558,0.3142,0.5406,0.9173,1.0,1.0,1.0332,3.1823,1.8499,1.1264
CCK,2021,FY,0.198,1.1221,0.1845,0.9563,1.0,1.0657,1.0462,0.8912,5.7756,1.0939
CCK,2022,Q1,0.1278,0.4092,0.3439,0.9083,1.0273,1.0844,0.9971,2.5105,3.1531,1.0978
CCK,2022,Q2,0.2776,0.8871,0.3369,0.9288,1.231,1.0,0.9839,1.3876,2.9682,1.0593
CCK,2022,FY,0.1706,0.5553,0.3234,0.95,1.3781,1.0595,1.0,2.4817,3.2761,1.0527
CCK,2023,Q2,0.1943,0.4218,0.4552,1.0119,0.466,1.0,1.0907,1.1046,2.1967,1.0779
CCK,2023,Q3,0.6832,2.4048,0.2993,0.9492,3.401,1.0797,1.0,1.4143,3.6073,1.0535
CCK,2023,FY,0.1772,0.6938,0.2692,0.9488,0.8803,0.9652,1.0,1.2688,3.5858,1.054
CCK,2024,Q1,0.5162,1.0275,0.5359,0.9375,0.9405,1.0,1.0,0.9153,1.866,1.0667
CCK,2024,Q3,0.0611,0.2588,0.2508,0.9418,0.309,1.0,1.0,1.1939,3.9871,1.0618
CCK,2024,FY,0.2826,0.8021,0.3717,0.9479,1.0357,1.0373,1.0,1.2912,2.7904,1.055
CCK,2025,Q1,0.4648,0.88,0.6143,0.8598,0.9707,1.0853,0.9555,1.1031,1.7668,1.1113
CCK,2025,Q2,0.6565,0.8859,0.7716,0.9604,1.0129,1.1348,1.0208,1.1433,1.4707,1.0629
CCK,2025,Q3,3.7154,3.9626,0.9483,0.9888,3.0101,1.0797,1.0492,0.7596,1.1386,1.0612
CCK,2025,FY,0.6555,0.8109,0.9287,0.8705,1.0478,1.0635,1.0,1.2922,1.1452,1.1488
CCK,2026,Q1,0.7456,0.8209,0.9297,0.9769,1.1289,1.0675,1.0377,1.3751,1.1482,1.0622
