ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CELH,2021,Q2,0.0857,0.1624,0.559,0.9438,1.0,1.0,1.0,6.1575,1.7889,1.0595
CELH,2021,Q3,0.0553,0.7809,0.0703,1.0063,1.0,1.0778,1.0,1.2806,15.3201,0.9938
CELH,2022,Q1,0.0831,0.4141,0.2019,0.9943,1.0,1.0,1.0,2.4151,4.9534,1.0057
CELH,2022,Q2,0.5898,0.9046,0.6527,0.9989,2.1664,1.0121,1.0,2.395,1.5506,1.0011
CELH,2022,Q3,0.9574,1.1562,0.5279,1.5685,1.9801,1.0,1.5585,1.7126,1.8942,0.9937
CELH,2022,FY,0.3701,0.699,0.6054,0.8745,1.0,1.0698,1.0,1.4306,1.767,1.1435
CELH,2023,Q1,1.6309,3.0851,0.5402,0.9786,2.6659,1.0527,1.0,0.8641,1.9488,1.0219
CELH,2023,Q2,3.3227,8.2081,0.237,1.7082,9.0025,1.0,1.5851,1.0968,4.2197,0.928
CELH,2023,FY,6.5692,10.1978,0.7338,0.8779,10.0823,1.2078,1.0,0.9887,1.646,1.1391
CELH,2024,Q1,0.6201,2.0107,0.2894,1.0657,1.9487,1.1885,1.0,0.9692,4.1074,0.9383
CELH,2024,Q3,0.8642,2.384,0.2208,1.6416,1.4118,1.0,1.6763,0.5922,4.5286,1.0211
CELH,2024,FY,0.3061,0.4484,0.6881,0.9921,0.4959,1.0,1.0,1.106,1.4533,1.008
CELH,2025,Q1,0.6707,0.8803,0.7429,1.0255,1.3684,1.0,1.0,1.5545,1.346,0.9751
CELH,2025,Q2,0.5024,0.6272,0.6266,1.2783,1.2619,1.0,1.2823,2.0121,1.5959,1.0031
CELH,2025,Q3,2.6189,3.184,0.6716,1.2247,2.7285,0.9224,1.2357,0.8569,1.3734,1.009
CELH,2025,FY,2.6916,2.6609,0.9275,1.0906,3.8483,1.0449,1.0,1.4463,1.1265,0.917
CELH,2026,Q1,1.7536,1.9219,0.7563,1.2065,2.2002,1.1637,1.2104,1.1448,1.5388,1.0032
