ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CERT,2021,Q2,0.2327,0.4868,0.5056,0.9457,1.0,1.0333,1.0,2.0543,2.0437,1.0575
CERT,2021,Q3,0.536,0.8573,0.7173,0.8717,1.0,1.0914,1.0,1.1664,1.5216,1.1472
CERT,2022,Q1,0.0939,0.3514,0.306,0.8734,1.0,1.016,1.0,2.8459,3.3199,1.145
CERT,2022,Q2,0.1265,0.6789,0.2198,0.8479,0.5912,1.0,1.0,0.8708,4.5502,1.1794
CERT,2022,Q3,0.6641,2.3031,0.316,0.9125,3.4942,1.0,1.0,1.5172,3.1645,1.0959
CERT,2022,FY,0.1976,0.4719,0.4481,0.9345,1.0,1.0,1.0,2.1191,2.2315,1.0701
CERT,2023,Q1,0.5087,0.8888,0.4435,1.2906,1.3535,1.0153,1.5484,1.5229,2.2891,1.1997
CERT,2023,Q2,0.4,1.3569,0.3298,0.8939,2.3441,1.01,1.0,1.7276,3.0625,1.1187
CERT,2023,Q3,0.1135,0.3931,0.3153,0.9154,0.4019,1.0,1.0,1.0222,3.1712,1.0925
CERT,2023,FY,0.2375,0.8824,0.293,0.9184,1.1748,1.0,1.0,1.3314,3.413,1.0888
CERT,2024,Q2,0.3263,0.5294,0.6598,0.9341,0.5505,1.0719,1.0,1.0398,1.6246,1.0706
CERT,2024,Q3,0.6174,1.4574,0.4714,0.8985,1.0103,1.0,1.0,0.6932,2.1212,1.113
CERT,2024,FY,0.3073,0.9509,0.3915,0.8256,1.1732,1.0459,1.0,1.2338,2.6715,1.2113
CERT,2025,Q1,0.4102,0.8215,0.5172,0.9655,1.0704,1.0,1.0,1.3029,1.9334,1.0358
CERT,2025,Q2,0.9395,1.0274,0.7507,1.2182,1.1561,0.9815,1.2921,1.1253,1.3075,1.0607
CERT,2025,Q3,0.5538,0.6032,0.7662,1.1983,1.2225,1.0148,1.2786,2.0268,1.3245,1.067
CERT,2025,FY,0.5533,0.9846,0.9385,0.5988,1.2479,0.9962,1.0,1.2674,1.0615,1.67
CERT,2026,Q1,0.7917,0.8072,0.8485,1.1559,1.1062,0.9242,1.2336,1.3704,1.0893,1.0672
