ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CF,2020,Q2,0.3161,1.0,0.3032,1.0426,1.0,1.0,1.227,1.0,3.2984,1.1768
CF,2020,Q3,0.3139,1.0,0.352,0.8919,1.0,1.1155,1.198,1.0,3.1692,1.3433
CF,2020,FY,0.2227,1.0,0.2227,1.0,1.0,1.0,1.0,1.0,4.4904,1.0
CF,2022,Q1,0.0668,0.271,0.3045,0.8092,1.0,1.2005,1.0,3.6901,3.9424,1.2358
CF,2022,Q2,0.1008,0.3539,0.3532,0.8062,0.7301,1.2494,1.0,2.063,3.5376,1.2403
CF,2022,Q3,0.0897,0.2598,0.4032,0.8565,0.4507,1.4173,1.0,1.7347,3.5149,1.1676
CF,2022,FY,0.4785,2.0421,0.2825,0.8295,2.7124,1.0,1.0,1.3282,3.5398,1.2056
CF,2023,Q1,0.7643,1.9747,0.5006,0.7731,2.7366,1.5784,1.0,1.3859,3.1528,1.2935
CF,2023,Q2,0.7175,1.3225,0.3829,1.417,1.1178,1.0,1.8707,0.8452,2.6118,1.3202
CF,2023,Q3,2.558,3.9729,0.4573,1.4081,3.7151,1.0,1.654,0.9351,2.1869,1.1746
CF,2023,FY,0.1256,0.3628,0.4318,0.8014,0.5845,1.2387,1.0,1.6109,2.8688,1.2478
CF,2024,Q1,0.2685,0.7534,0.429,0.8309,0.7015,1.0,1.0,0.9312,2.3312,1.2036
CF,2024,Q2,1.4727,1.7552,0.6321,1.3275,1.7138,1.1995,1.675,0.9764,1.8978,1.2618
CF,2024,Q3,0.49,0.7963,0.5406,1.1384,0.8719,1.0,1.4117,1.095,1.8497,1.2401
CF,2025,Q1,0.3003,0.7905,0.4394,0.8647,0.7306,1.1932,1.0,0.9242,2.7157,1.1565
CF,2025,Q2,0.5868,0.4639,1.0257,1.2333,0.6213,1.3519,1.4773,1.3393,1.3181,1.1978
CF,2025,Q3,0.486,0.363,1.2157,1.1012,0.376,1.3837,1.3149,1.0359,1.1381,1.194
CF,2025,FY,0.8322,0.7587,1.2254,0.8952,1.0835,1.3401,1.0,1.4282,1.0936,1.1171
CF,2026,Q1,1.7039,1.0045,1.3286,1.2768,1.351,1.516,1.524,1.345,1.141,1.1937
