ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CHE,2020,Q2,0.589,1.0,0.7529,0.7823,1.0,1.0,0.8408,1.0,1.3282,1.0748
CHE,2020,Q3,0.2886,1.0,0.329,0.8773,1.0,1.147,0.9368,1.0,3.4868,1.0678
CHE,2020,FY,0.3395,1.0,0.3909,0.8686,1.0,1.0,1.0,1.0,2.5585,1.1512
CHE,2021,Q3,0.4449,0.8742,0.6572,0.7743,1.0196,1.0,0.8884,1.1664,1.5216,1.1472
CHE,2021,FY,0.3732,1.1248,0.3449,0.962,1.6028,1.1436,1.0,1.4251,3.3155,1.0395
CHE,2022,Q1,0.0805,0.3514,0.3012,0.7607,1.0,1.0,0.8709,2.8459,3.3199,1.145
CHE,2022,Q2,0.1121,0.6735,0.2198,0.7574,0.5864,1.0,0.8932,0.8708,4.5502,1.1794
CHE,2023,Q2,0.0942,0.3111,0.3265,0.9268,0.5375,1.0,1.0368,1.7276,3.0625,1.1187
CHE,2023,Q3,0.276,0.9561,0.3153,0.9154,0.9774,1.0,1.0,1.0222,3.1712,1.0925
CHE,2024,Q1,0.2596,0.8478,0.26,1.1777,0.6672,1.0,1.2415,0.787,3.8462,1.0542
CHE,2024,Q2,0.7815,1.1226,0.6155,1.131,1.1674,1.0,1.2108,1.0398,1.6246,1.0706
CHE,2024,Q3,1.3812,2.6443,0.5813,0.8985,1.8331,1.2331,1.0,0.6932,2.1212,1.113
CHE,2024,FY,0.2847,0.9212,0.3743,0.8256,1.1365,1.0,1.0,1.2338,2.6715,1.2113
CHE,2025,Q2,1.423,1.4681,0.8357,1.1599,1.6521,1.0927,1.2303,1.1253,1.3075,1.0607
CHE,2025,Q3,0.7831,0.9666,0.7815,1.0366,1.9591,1.0352,1.1061,2.0268,1.3245,1.067
CHE,2025,FY,0.5174,0.821,1.0524,0.5988,1.0406,1.1171,1.0,1.2674,1.0615,1.67
CHE,2026,Q1,1.2295,1.3553,1.021,0.8885,1.8573,1.1121,0.9483,1.3704,1.0893,1.0672
