ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CINF,2021,Q2,0.0969,0.4728,0.2166,0.9463,1.0,1.0,1.0,2.1151,4.6159,1.0567
CINF,2021,Q3,0.274,0.9006,0.3121,0.9749,1.0,1.0,1.0,1.1104,3.2045,1.0257
CINF,2022,Q1,0.0723,0.1566,0.4711,0.9794,1.0,1.3858,1.0,6.3858,2.9415,1.0211
CINF,2022,Q2,0.2391,0.7789,0.325,0.9446,0.7782,1.0,1.0,0.9991,3.0769,1.0587
CINF,2022,Q3,0.2079,0.3981,0.5365,0.9736,0.8015,1.0,1.0,2.0136,1.864,1.0271
CINF,2022,FY,0.1564,0.3884,0.3982,1.0113,1.0,1.0,1.0,2.5745,2.5116,0.9889
CINF,2023,Q1,0.36,0.7734,0.4737,0.9828,0.5469,0.8208,1.0,0.7072,1.7328,1.0175
CINF,2023,Q3,0.277,1.0165,0.2892,0.9422,0.7899,0.7722,1.0,0.7771,2.6701,1.0613
CINF,2023,FY,0.5953,1.3623,0.4608,0.9483,1.2773,1.4458,1.0,0.9376,3.1376,1.0545
CINF,2024,Q1,0.5885,1.1377,0.5603,0.9233,1.8399,1.1116,1.0,1.6173,1.9839,1.0831
CINF,2024,Q2,0.7996,1.5333,0.5456,0.9558,2.3813,1.1238,1.0,1.5531,2.0597,1.0463
CINF,2024,Q3,0.7839,1.7606,0.4651,0.9574,1.2844,1.0,1.0,0.7295,2.1503,1.0445
CINF,2024,FY,0.1395,0.5839,0.3393,0.7043,0.6818,1.0,1.0,1.1676,2.9473,1.4199
CINF,2025,Q1,0.8691,1.3334,0.7262,0.8976,1.3097,1.3463,1.0,0.9822,1.854,1.1141
CINF,2025,Q2,0.4826,0.5717,0.8927,0.9455,0.6702,1.2673,1.0,1.1723,1.4196,1.0577
CINF,2025,Q3,1.1717,1.1763,1.0311,0.966,2.0574,1.4309,1.0,1.7491,1.3877,1.0352
CINF,2025,FY,1.1343,1.1969,0.962,0.9852,1.9246,1.2337,1.0,1.608,1.2825,1.015
CINF,2026,Q1,0.5878,0.674,0.8948,0.9746,0.9755,1.1058,1.0,1.4474,1.2358,1.0261
