ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CLX,2020,FY,0.5308,1.0,0.6386,0.8312,1.0,1.0,1.0,1.0,1.5659,1.2031
CLX,2021,FY,0.0855,1.2888,0.0701,0.9456,3.702,1.1086,1.0,2.8725,15.808,1.0575
CLX,2022,Q1,0.0797,0.4141,0.2191,0.8785,1.0,1.0853,0.8835,2.4151,4.9534,1.0057
CLX,2022,Q2,0.2354,0.4175,0.6449,0.8743,1.0,1.0,0.8753,2.395,1.5506,1.0011
CLX,2022,Q3,0.3003,0.5839,0.511,1.0064,1.0,0.9679,1.0,1.7126,1.8942,0.9937
CLX,2023,Q2,0.2387,0.9247,0.2515,1.0263,1.0142,1.0613,0.9523,1.0968,4.2197,0.928
CLX,2023,Q3,1.3132,1.6944,0.7518,1.0308,2.9792,1.0295,1.0,1.7583,1.3693,0.9701
CLX,2024,Q1,0.2579,0.9941,0.2435,1.0657,0.9635,1.0,1.0,0.9692,4.1074,0.9383
CLX,2024,Q2,2.4554,4.5209,0.5577,0.9739,1.9685,1.0372,0.9627,0.4354,1.8597,0.9885
CLX,2024,Q3,0.3682,1.709,0.22,0.9793,1.0121,0.9963,1.0,0.5922,4.5286,1.0211
CLX,2024,FY,0.6391,0.8754,0.7359,0.9921,0.9681,1.0695,1.0,1.106,1.4533,1.008
CLX,2025,Q1,0.3976,0.5124,0.7566,1.0255,0.7966,1.0184,1.0,1.5545,1.346,0.9751
CLX,2025,Q2,0.1846,0.2482,0.7606,0.9777,0.4994,1.2138,0.9807,2.0121,1.5959,1.0031
CLX,2025,Q3,0.8139,1.1278,0.7281,0.9911,0.9665,1.0,1.0,0.8569,1.3734,1.009
CLX,2025,FY,0.7569,0.6911,1.0042,1.0906,0.9996,1.1312,1.0,1.4463,1.1265,0.917
CLX,2026,Q1,0.5645,0.9006,0.6894,0.9092,1.031,1.0609,0.9121,1.1448,1.5388,1.0032
CLX,2026,Q2,0.9914,0.9923,1.1065,0.903,0.9923,1.1065,0.903,1.0,1.0,1.0
CLX,2026,Q3,0.3428,0.3218,1.1291,0.9436,0.3218,1.1291,0.9436,1.0,1.0,1.0
