ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CME,2020,Q3,0.5042,1.0,0.5306,0.9503,1.0,1.0,1.0064,1.0,1.8848,1.0591
CME,2020,FY,0.1002,1.0,0.1453,0.6898,1.0,1.0,1.0,1.0,6.8813,1.4498
CME,2022,Q1,0.0521,0.1566,0.34,0.9794,1.0,1.0,1.0,6.3858,2.9415,1.0211
CME,2022,Q2,0.3073,1.0009,0.325,0.9446,1.0,1.0,1.0,0.9991,3.0769,1.0587
CME,2022,Q3,0.3288,0.4648,0.7265,0.9736,0.9359,1.3542,1.0,2.0136,1.864,1.0271
CME,2023,Q1,1.8257,1.5193,1.2226,0.9828,1.0744,2.1186,1.0,0.7072,1.7328,1.0175
CME,2023,Q2,1.6023,2.8657,0.5923,0.9441,2.1911,1.0,1.0,0.7646,1.6885,1.0592
CME,2023,Q3,0.1574,0.446,0.3745,0.9422,0.3466,1.0,1.0,0.7771,2.6701,1.0613
CME,2023,FY,1.6371,5.4164,0.3187,0.9483,5.0787,1.0,1.0,0.9376,3.1376,1.0545
CME,2024,Q1,0.7962,0.662,1.3027,0.9233,1.0705,2.5844,1.0,1.6173,1.9839,1.0831
CME,2024,Q2,0.3672,0.339,1.1335,0.9558,0.5264,2.3347,1.0,1.5531,2.0597,1.0463
CME,2024,Q3,0.7936,1.7688,0.4651,0.9647,1.2904,1.0,1.0076,0.7295,2.1503,1.0445
CME,2024,FY,0.1841,0.7706,0.3393,0.7043,0.8997,1.0,1.0,1.1676,2.9473,1.4199
CME,2025,Q1,0.5087,1.0508,0.5394,0.8976,1.0321,1.0,1.0,0.9822,1.854,1.1141
CME,2025,Q2,0.6401,0.9611,0.7044,0.9455,1.1267,1.0,1.0,1.1723,1.4196,1.0577
CME,2025,Q3,0.389,0.5548,0.7206,0.9729,0.9705,1.0,1.0071,1.7491,1.3877,1.0352
CME,2025,FY,1.6528,0.8079,2.0766,0.9852,1.2991,2.6632,1.0,1.608,1.2825,1.015
CME,2026,Q1,1.7942,0.873,2.0961,0.9804,1.2636,2.5904,1.006,1.4474,1.2358,1.0261
CME,2026,Q2,1.1201,1.1133,1.0,1.0061,1.1133,1.0,1.0061,1.0,1.0,1.0
