ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CMG,2021,Q1,0.001,0.008,0.1089,1.1303,1.0,1.0,1.2043,124.4843,9.1836,1.0655
CMG,2021,Q2,0.1697,0.4801,0.383,0.923,1.0,1.0,1.0,2.0828,2.6109,1.0835
CMG,2021,Q3,0.1508,0.3142,0.5406,0.8878,1.0,1.0,1.0,3.1823,1.8499,1.1264
CMG,2022,Q1,0.1463,0.4621,0.3171,0.9981,1.1602,1.0,1.0956,2.5105,3.1531,1.0978
CMG,2022,Q2,0.7677,2.2357,0.3369,1.0192,3.1023,1.0,1.0796,1.3876,2.9682,1.0593
CMG,2022,Q3,0.6526,1.1191,0.6181,0.9434,1.2191,1.3626,1.0,1.0894,2.2043,1.06
CMG,2022,FY,0.1168,0.4029,0.3052,0.95,1.0,1.0,1.0,2.4817,3.2761,1.0527
CMG,2023,Q2,0.2647,0.5377,0.4552,1.0816,0.594,1.0,1.1658,1.1046,2.1967,1.0779
CMG,2023,Q3,0.2393,0.8041,0.3135,0.9492,1.1372,1.131,1.0,1.4143,3.6073,1.0535
CMG,2023,FY,0.2879,0.9939,0.3053,0.9488,1.2611,1.0947,1.0,1.2688,3.5858,1.054
CMG,2024,Q1,0.6434,1.2807,0.5359,0.9375,1.1723,1.0,1.0,0.9153,1.866,1.0667
CMG,2024,Q3,0.2923,1.0539,0.2508,1.1059,1.2583,1.0,1.1742,1.1939,3.9871,1.0618
CMG,2024,FY,0.301,0.886,0.3584,0.9479,1.1441,1.0,1.0,1.2912,2.7904,1.055
CMG,2025,Q1,0.5267,1.0341,0.566,0.8998,1.1407,1.0,1.0,1.1031,1.7668,1.1113
CMG,2025,Q2,0.8055,1.0654,0.6799,1.1119,1.2181,1.0,1.1819,1.1433,1.4707,1.0629
CMG,2025,Q3,1.5507,1.4153,1.0063,1.0888,1.0751,1.1458,1.1554,0.7596,1.1386,1.0612
CMG,2025,FY,0.9326,1.0688,1.0023,0.8705,1.3811,1.1478,1.0,1.2922,1.1452,1.1488
CMG,2026,Q1,0.7347,0.8312,0.9656,0.9154,1.143,1.1087,0.9723,1.3751,1.1482,1.0622
