ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CMI,2020,FY,0.5063,1.0,0.5804,0.8723,1.0,1.0,1.0,1.0,1.7229,1.1464
CMI,2021,Q2,0.078,0.2709,0.2671,1.0785,1.0,1.0,1.2179,3.6914,3.7439,1.1293
CMI,2021,Q3,0.1309,0.5497,0.2752,0.8652,1.0,1.1092,1.0,1.8193,4.0308,1.1558
CMI,2022,Q1,0.3262,0.5732,0.6189,0.9193,1.0,1.1115,1.0,1.7445,1.7957,1.0878
CMI,2022,Q3,0.4105,1.2434,0.3721,0.8874,1.1661,1.0997,1.0,0.9378,2.9554,1.1269
CMI,2023,Q1,0.2267,0.8118,0.2981,0.9368,1.0481,1.0,1.0,1.2911,3.3549,1.0674
CMI,2023,Q2,0.4129,1.1756,0.3898,0.901,1.0777,1.0,1.0,0.9167,2.5652,1.1099
CMI,2023,Q3,0.6307,1.274,0.4532,1.0923,1.4127,1.0,1.1267,1.1088,2.2067,1.0314
CMI,2023,FY,0.9699,2.8681,0.4207,0.8038,4.1202,1.099,1.0,1.4366,2.6121,1.2441
CMI,2024,Q1,0.6498,1.2666,0.5593,0.9172,1.3239,1.1054,1.0,1.0452,1.9762,1.0902
CMI,2024,Q2,0.477,1.0272,0.4857,0.956,1.3116,1.0,1.0,1.2768,2.059,1.046
CMI,2024,FY,0.4262,1.0061,0.4609,0.919,1.1687,1.0843,1.0,1.1616,2.3526,1.0881
CMI,2025,Q1,0.4027,0.9368,0.4559,0.9429,0.9941,1.3181,1.0,1.0611,2.891,1.0606
CMI,2025,Q2,0.5919,0.7937,0.6801,1.0966,1.0006,1.1203,1.1797,1.2606,1.6473,1.0757
CMI,2025,Q3,1.0529,1.0234,0.9066,1.1348,0.9865,1.0721,1.2093,0.9639,1.1825,1.0657
CMI,2025,FY,0.6522,0.8644,0.9481,0.7959,1.1993,1.0963,1.0,1.3875,1.1563,1.2565
CMI,2026,Q1,0.7276,0.699,0.9157,1.1368,0.9994,1.0881,1.1957,1.4297,1.1883,1.0518
