ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
COF,2021,Q2,0.0969,0.4728,0.2166,0.9463,1.0,1.0,1.0,2.1151,4.6159,1.0567
COF,2021,Q3,0.274,0.9006,0.3121,0.9749,1.0,1.0,1.0,1.1104,3.2045,1.0257
COF,2021,FY,0.1893,1.1621,0.1667,0.9773,1.0,1.0,1.0,0.8605,5.9982,1.0233
COF,2022,Q1,0.0521,0.1566,0.34,0.9794,1.0,1.0,1.0,6.3858,2.9415,1.0211
COF,2022,Q2,0.3784,0.5687,0.7044,0.9446,0.5682,2.1675,1.0,0.9991,3.0769,1.0587
COF,2022,Q3,2.9868,0.6368,4.8172,0.9736,1.2823,8.9794,1.0,2.0136,1.864,1.0271
COF,2022,FY,0.9332,2.3178,0.3982,1.0113,5.9672,1.0,1.0,2.5745,2.5116,0.9889
COF,2023,Q1,0.9879,1.7417,0.5771,0.9828,1.2318,1.0,1.0,0.7072,1.7328,1.0175
COF,2023,Q3,0.184,0.5213,0.3745,0.9422,0.4051,1.0,1.0,0.7771,2.6701,1.0613
COF,2024,Q1,2.1943,4.7149,0.504,0.9233,7.6253,1.0,1.0,1.6173,1.9839,1.0831
COF,2024,Q2,0.6503,1.4013,0.4855,0.9558,2.1763,1.0,1.0,1.5531,2.0597,1.0463
COF,2024,Q3,3.1511,4.0386,0.815,0.9574,2.9463,1.7524,1.0,0.7295,2.1503,1.0445
COF,2024,FY,0.0424,0.1776,0.3393,0.7043,0.2074,1.0,1.0,1.1676,2.9473,1.4199
COF,2025,Q1,0.0781,0.1612,0.5394,0.8976,0.1584,1.0,1.0,0.9822,1.854,1.1141
COF,2025,Q2,0.5993,1.071,0.5919,0.9455,1.2555,0.8402,1.0,1.1723,1.4196,1.0577
COF,2025,Q3,1.2422,0.7702,1.6696,0.966,1.3471,2.3168,1.0,1.7491,1.3877,1.0352
COF,2025,FY,4.5232,5.6179,0.8173,0.9852,9.0336,1.0481,1.0,1.608,1.2825,1.015
COF,2026,Q1,6.5015,7.0673,0.9439,0.9746,10.229,1.1665,1.0,1.4474,1.2358,1.0261
