ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
COLD,2020,Q2,0.1879,1.0,0.2181,0.8616,1.0,1.0,1.0,1.0,4.5856,1.1607
COLD,2021,Q3,0.2525,0.4542,0.5555,1.0008,1.0,1.1625,1.0,2.2018,2.0926,0.9992
COLD,2021,FY,0.4994,1.7072,0.2557,1.1442,1.0,0.9887,1.0,0.5857,3.8672,0.874
COLD,2022,Q1,0.1229,0.2348,0.5521,0.9483,1.0,1.0,1.0,4.2584,1.8113,1.0545
COLD,2022,Q2,0.299,0.8195,0.4527,0.8058,1.4851,1.0,1.0,1.8121,2.2088,1.241
COLD,2022,Q3,0.906,2.8858,0.3276,0.9583,4.0745,1.0,1.0,1.4119,3.0526,1.0435
COLD,2023,Q2,0.1975,0.4352,0.4435,1.0233,0.4444,1.0,1.0,1.0212,2.2549,0.9772
COLD,2023,Q3,0.1246,0.2819,0.496,0.8907,0.328,0.9968,1.0,1.1634,2.0096,1.1227
COLD,2024,Q1,0.4799,1.1591,0.321,1.2897,0.9374,1.0,1.0,0.8087,3.1149,0.7754
COLD,2024,Q2,0.5914,2.5756,0.2421,0.9484,2.0331,1.0,1.0,0.7894,4.1306,1.0544
COLD,2024,Q3,1.0006,3.207,0.2982,1.0461,2.9863,0.9981,1.0,0.9312,3.3466,0.9559
COLD,2024,FY,0.4017,0.9813,0.3894,1.0513,0.9733,0.9649,1.0,0.9918,2.4782,0.9512
COLD,2025,Q2,0.4109,0.5442,0.7648,0.987,0.9629,1.0012,1.0,1.7692,1.3091,1.0132
COLD,2025,Q3,0.2152,0.2603,0.8209,1.0068,0.3391,0.983,1.0,1.3024,1.1975,0.9933
COLD,2025,FY,0.5153,0.6085,0.7862,1.077,0.9989,0.9576,1.0,1.6414,1.218,0.9285
COLD,2026,Q1,0.5695,0.6654,0.7983,1.0722,0.967,0.9787,1.0,1.4533,1.226,0.9327
