ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
COR,2020,Q3,0.2665,1.0,0.2868,0.9291,1.0,1.0,0.9922,1.0,3.4868,1.0678
COR,2020,FY,0.3395,1.0,0.3909,0.8686,1.0,1.0,1.0,1.0,2.5585,1.1512
COR,2022,Q1,0.0924,0.3514,0.3012,0.8734,1.0,1.0,1.0,2.8459,3.3199,1.145
COR,2022,Q2,0.2176,1.1484,0.2235,0.8479,1.0,1.0168,1.0,0.8708,4.5502,1.1794
COR,2022,Q3,0.2095,0.7267,0.316,0.9125,1.1026,1.0,1.0,1.5172,3.1645,1.0959
COR,2023,Q1,0.2715,0.7456,0.4369,0.8335,1.1354,1.0,1.0,1.5229,2.2891,1.1997
COR,2023,Q2,0.4034,1.3819,0.3265,0.8939,2.3874,1.0,1.0,1.7276,3.0625,1.1187
COR,2023,Q3,0.1094,0.3789,0.3153,0.9154,0.3873,1.0,1.0,1.0222,3.1712,1.0925
COR,2023,FY,1.076,3.9987,0.293,0.9184,5.3239,1.0,1.0,1.3314,3.413,1.0888
COR,2024,Q1,0.3303,1.3392,0.26,0.9486,1.054,1.0,1.0,0.787,3.8462,1.0542
COR,2024,Q2,0.3034,0.52,0.6245,0.9341,0.5408,1.0146,1.0,1.0398,1.6246,1.0706
COR,2024,Q3,0.7273,1.783,0.4714,0.8653,1.236,1.0,0.963,0.6932,2.1212,1.113
COR,2024,FY,0.2279,0.7376,0.3743,0.8256,0.91,1.0,1.0,1.2338,2.6715,1.2113
COR,2025,Q1,0.4443,0.8824,0.5216,0.9655,1.1497,1.0084,1.0,1.3029,1.9334,1.0358
COR,2025,Q2,0.6951,0.9581,0.7695,0.9428,1.0781,1.0062,1.0,1.1253,1.3075,1.0607
COR,2025,Q3,0.37,0.5361,0.7615,0.9064,1.0865,1.0086,0.9672,2.0268,1.3245,1.067
COR,2025,FY,0.6024,1.0627,0.9466,0.5988,1.3468,1.0049,1.0,1.2674,1.0615,1.67
COR,2026,Q1,0.7297,0.8679,0.9241,0.9099,1.1893,1.0066,0.9711,1.3704,1.0893,1.0672
COR,2026,Q2,1.1485,1.1453,1.0212,0.9819,1.1453,1.0212,0.9819,1.0,1.0,1.0
