ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
CUZ,2020,Q3,0.1649,1.0,0.1654,0.9967,1.0,1.0531,1.0,1.0,6.3673,1.0033
CUZ,2021,Q2,0.2886,0.6477,0.5244,0.8496,1.0,1.18,1.0,1.544,2.2501,1.177
CUZ,2022,Q1,0.1229,0.2348,0.5521,0.9483,1.0,1.0,1.0,4.2584,1.8113,1.0545
CUZ,2022,Q2,0.0994,0.2724,0.4527,0.8058,0.4936,1.0,1.0,1.8121,2.2088,1.241
CUZ,2022,Q3,0.1841,0.2399,0.8006,0.9583,0.3387,2.4439,1.0,1.4119,3.0526,1.0435
CUZ,2022,FY,0.118,0.2788,0.4231,1.0,1.0,1.0,1.0,3.5863,2.3635,1.0
CUZ,2023,Q1,0.3755,0.8335,0.4384,1.0276,1.0695,1.1239,1.0,1.2831,2.5635,0.9732
CUZ,2023,Q3,0.6713,0.8888,0.848,0.8907,1.0341,1.7041,1.0,1.1634,2.0096,1.1227
CUZ,2023,FY,0.4876,0.9342,0.3987,1.3092,1.0633,1.0,1.0,1.1383,2.5083,0.7638
CUZ,2024,Q2,0.3599,1.394,0.2722,0.9484,1.1004,1.1245,1.0,0.7894,4.1306,1.0544
CUZ,2024,Q3,0.3789,1.0941,0.331,1.0461,1.0188,1.1079,1.0,0.9312,3.3466,0.9559
CUZ,2024,FY,0.5204,0.9573,0.5171,1.0513,0.9495,1.2815,1.0,0.9918,2.4782,0.9512
CUZ,2025,Q1,0.4497,0.7403,0.5057,1.2009,1.0321,1.0,1.0,1.3941,1.9773,0.8327
CUZ,2025,Q2,0.5885,0.6643,0.8975,0.987,1.1753,1.1749,1.0,1.7692,1.3091,1.0132
CUZ,2025,Q3,0.8357,0.9589,0.8657,1.0068,1.2488,1.0366,1.0,1.3024,1.1975,0.9933
CUZ,2025,FY,0.7322,0.7943,0.8559,1.077,1.3037,1.0425,1.0,1.6414,1.218,0.9285
CUZ,2026,Q1,0.6918,0.8652,0.7457,1.0722,1.2574,0.9143,1.0,1.4533,1.226,0.9327
