ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
DAL,2020,Q3,0.1578,1.0,0.1643,0.9607,1.0,0.7093,1.0826,1.0,4.3174,1.1269
DAL,2021,Q2,0.0603,0.2709,0.2671,0.8336,1.0,1.0,0.9414,3.6914,3.7439,1.1293
DAL,2021,Q3,0.1839,0.8557,0.2637,0.8147,1.5569,1.0631,0.9417,1.8193,4.0308,1.1558
DAL,2022,Q1,0.2934,0.5732,0.5569,0.9193,1.0,1.0,1.0,1.7445,1.7957,1.0878
DAL,2022,FY,0.2324,0.5877,0.4395,0.8997,1.0,1.0,1.0,1.7015,2.2753,1.1114
DAL,2023,Q1,0.4872,1.7446,0.2981,0.9368,2.2525,1.0,1.0,1.2911,3.3549,1.0674
DAL,2023,Q2,0.4697,1.3373,0.3898,0.901,1.226,1.0,1.0,0.9167,2.5652,1.1099
DAL,2023,Q3,0.6488,1.9347,0.4532,0.74,2.1452,1.0,0.7633,1.1088,2.2067,1.0314
DAL,2023,FY,0.2458,0.7988,0.3828,0.8038,1.1476,1.0,1.0,1.4366,2.6121,1.2441
DAL,2024,Q1,0.6061,1.3059,0.506,0.9172,1.3649,1.0,1.0,1.0452,1.9762,1.0902
DAL,2024,Q2,0.4098,0.8826,0.4857,0.956,1.1269,1.0,1.0,1.2768,2.059,1.046
DAL,2025,Q1,0.3312,1.0155,0.3459,0.9429,1.0775,1.0,1.0,1.0611,2.891,1.0606
DAL,2025,Q2,0.6413,1.5627,0.6071,0.676,1.97,1.0,0.7272,1.2606,1.6473,1.0757
DAL,2025,Q3,0.2517,0.3947,0.9242,0.69,0.3804,1.0929,0.7353,0.9639,1.1825,1.0657
DAL,2025,FY,0.5879,0.7867,0.939,0.7959,1.0916,1.0858,1.0,1.3875,1.1563,1.2565
DAL,2026,Q1,0.4825,0.8066,0.8416,0.7108,1.1532,1.0,0.7476,1.4297,1.1883,1.0518
DAL,2026,Q2,0.5262,0.6438,1.0884,0.751,0.6438,1.0884,0.751,1.0,1.0,1.0
