ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
DAR,2020,Q2,0.0529,1.0,0.0487,1.0866,1.0,1.0,1.1537,1.0,20.5237,1.0618
DAR,2020,FY,0.5308,1.0,0.6386,0.8312,1.0,1.0,1.0,1.0,1.5659,1.2031
DAR,2021,Q3,0.0582,0.7809,0.0653,1.1414,1.0,1.0,1.1343,1.2806,15.3201,0.9938
DAR,2021,FY,0.1084,1.462,0.0691,1.0732,4.1995,1.0918,1.1348,2.8725,15.808,1.0575
DAR,2022,Q1,0.0831,0.4141,0.2019,0.9943,1.0,1.0,1.0,2.4151,4.9534,1.0057
DAR,2022,Q2,0.5565,0.7402,0.6449,1.1657,1.7728,1.0,1.167,2.395,1.5506,1.0011
DAR,2023,Q1,1.194,1.9803,0.5131,1.175,1.7112,1.0,1.2007,0.8641,1.9488,1.0219
DAR,2023,Q2,0.3363,1.0726,0.237,1.3231,1.1765,1.0,1.2278,1.0968,4.2197,0.928
DAR,2023,Q3,0.6309,0.8381,0.7303,1.0308,1.4736,1.0,1.0,1.7583,1.3693,0.9701
DAR,2023,FY,0.7161,1.3426,0.6075,0.8779,1.3274,1.0,1.0,0.9887,1.646,1.1391
DAR,2024,Q2,1.1754,1.8609,0.5377,1.1746,0.8103,1.0,1.1611,0.4354,1.8597,0.9885
DAR,2024,Q3,0.5246,1.5704,0.3411,0.9793,0.93,1.5448,1.0,0.5922,4.5286,1.0211
DAR,2024,FY,0.8504,1.2457,0.6881,0.9921,1.3777,1.0,1.0,1.106,1.4533,1.008
DAR,2025,Q1,0.3886,0.5101,0.7429,1.0255,0.7929,1.0,1.0,1.5545,1.346,0.9751
DAR,2025,Q2,0.1831,0.2561,0.6266,1.1412,0.5152,1.0,1.1448,2.0121,1.5959,1.0031
DAR,2025,Q3,0.9377,1.123,0.7381,1.1314,0.9623,1.0136,1.1416,0.8569,1.3734,1.009
DAR,2025,FY,0.6361,0.6495,0.898,1.0906,0.9393,1.0116,1.0,1.4463,1.1265,0.917
DAR,2026,Q1,0.7899,0.9538,0.7129,1.1618,1.0919,1.0969,1.1655,1.1448,1.5388,1.0032
