ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
DD,2020,Q2,0.2947,1.0,0.3032,0.972,1.0,1.0,1.1438,1.0,3.2984,1.1768
DD,2021,Q3,0.3386,0.7114,0.4846,0.9821,1.0,1.0,1.2627,1.4056,2.0637,1.2857
DD,2021,FY,0.0566,0.2766,0.2048,0.9987,1.0,1.0,1.3338,3.6156,4.8831,1.3355
DD,2022,Q1,0.0556,0.271,0.2537,0.8092,1.0,1.0,1.0,3.6901,3.9424,1.2358
DD,2022,Q2,0.0341,0.1497,0.2827,0.8062,0.3089,1.0,1.0,2.063,3.5376,1.2403
DD,2022,Q3,0.1458,0.4477,0.2845,1.1445,0.7766,1.0,1.3363,1.7347,3.5149,1.1676
DD,2023,Q1,0.2885,0.7218,0.3477,1.1496,1.0003,1.0963,1.487,1.3859,3.1528,1.2935
DD,2023,Q2,0.9718,2.3297,0.3829,1.0895,1.9691,1.0,1.4384,0.8452,2.6118,1.3202
DD,2023,Q3,1.4857,2.9563,0.4573,1.099,2.7645,1.0,1.291,0.9351,2.1869,1.1746
DD,2023,FY,0.3131,0.544,0.7182,0.8014,0.8764,2.0603,1.0,1.6109,2.8688,1.2478
DD,2024,Q3,0.2126,0.3179,0.6303,1.0612,0.3481,1.1658,1.316,1.095,1.8497,1.2401
DD,2024,FY,0.6199,1.3089,0.4736,1.0,1.0359,1.8208,1.0,0.7914,3.8445,1.0
DD,2025,Q2,0.2827,0.3979,0.7587,0.9365,0.5329,1.0,1.1217,1.3393,1.3181,1.1978
DD,2025,FY,0.0696,0.0911,0.8539,0.8952,0.1301,0.9338,1.0,1.4282,1.0936,1.1171
DD,2026,Q1,0.4682,0.4141,0.9711,1.1642,0.557,1.1081,1.3896,1.345,1.141,1.1937
