ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
DELL,2022,Q1,0.0288,0.0857,0.4352,0.7704,1.0,1.0,0.9173,11.6625,2.2975,1.1907
DELL,2022,Q2,0.0589,0.4108,0.15,0.9561,1.0,1.0,1.0,2.4341,6.6682,1.046
DELL,2022,FY,0.2743,0.9065,0.3626,0.8347,1.0,1.0582,1.0,1.1032,2.9185,1.198
DELL,2023,Q2,0.2508,0.92,0.3163,0.8621,1.1773,1.0309,0.9171,1.2796,3.2595,1.0638
DELL,2023,Q3,0.2238,1.1053,0.2173,0.9319,1.0,1.0,1.0,0.9047,4.6026,1.0731
DELL,2024,Q3,0.4474,1.007,0.5015,0.886,0.9356,1.0098,1.0,0.929,2.0138,1.1287
DELL,2024,FY,0.0568,0.1953,0.3222,0.9026,0.2581,1.0,1.0,1.3216,3.1036,1.1079
DELL,2025,Q1,0.2221,0.7737,0.3211,0.8941,0.8544,1.0,1.0,1.1043,3.1144,1.1185
DELL,2025,FY,0.396,0.5752,0.787,0.8748,0.9163,1.0,1.0,1.593,1.2707,1.1431
DELL,2026,Q2,0.5794,0.944,0.7217,0.8503,1.0117,1.0224,0.9396,1.0717,1.4166,1.105
DELL,2026,Q3,3.136,3.2425,1.0197,0.9485,3.2425,1.0197,0.9485,1.0,1.0,1.0
DELL,2026,FY,5.0061,4.7444,1.0552,1.0,4.7444,1.0552,1.0,1.0,1.0,1.0
DELL,2027,Q1,2.2325,2.0955,1.0851,0.9818,2.0955,1.0851,0.9818,1.0,1.0,1.0
