ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
DG,2021,Q2,0.0857,0.1624,0.559,0.9438,1.0,1.0,1.0,6.1575,1.7889,1.0595
DG,2021,Q3,0.0513,0.7809,0.0653,1.0063,1.0,1.0,1.0,1.2806,15.3201,0.9938
DG,2022,Q1,0.0904,0.4141,0.2196,0.9943,1.0,1.0878,1.0,2.4151,4.9534,1.0057
DG,2022,Q2,0.3159,0.4159,0.7605,0.9989,0.9961,1.1792,1.0,2.395,1.5506,1.0011
DG,2022,Q3,0.4087,0.6066,0.6695,1.0064,1.0388,1.2683,1.0,1.7126,1.8942,0.9937
DG,2022,FY,0.346,0.699,0.5659,0.8745,1.0,1.0,1.0,1.4306,1.767,1.1435
DG,2023,Q1,0.7503,1.287,0.543,1.0736,1.1121,1.0583,1.0971,0.8641,1.9488,1.0219
DG,2023,Q2,0.2537,0.9935,0.237,1.0776,1.0897,1.0,1.0,1.0968,4.2197,0.928
DG,2023,Q3,0.4758,0.632,0.7303,1.0308,1.1112,1.0,1.0,1.7583,1.3693,0.9701
DG,2024,Q2,1.2984,2.3869,0.5377,1.0116,1.0393,1.0,1.0,0.4354,1.8597,0.9885
DG,2024,Q3,0.4298,1.7295,0.2538,0.9793,1.0242,1.1493,1.0,0.5922,4.5286,1.0211
DG,2024,FY,0.6826,1.0,0.6881,0.9921,1.1059,1.0,1.0,1.106,1.4533,1.008
DG,2025,Q1,0.5398,0.6826,0.7712,1.0255,1.0611,1.038,1.0,1.5545,1.346,0.9751
DG,2025,Q2,0.3962,0.5442,0.6773,1.0748,1.0951,1.0809,1.0781,2.0121,1.5959,1.0031
DG,2025,Q3,1.0018,1.2819,0.748,1.0447,1.0986,1.0273,1.0541,0.8569,1.3734,1.009
DG,2025,FY,0.7834,0.7806,0.9203,1.0906,1.1289,1.0367,1.0,1.4463,1.1265,0.917
DG,2026,Q1,0.6764,0.9504,0.6778,1.0501,1.0881,1.0429,1.0534,1.1448,1.5388,1.0032
