ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
DOC,2020,Q2,0.1879,1.0,0.2181,0.8616,1.0,1.0,1.0,1.0,4.5856,1.1607
DOC,2021,Q1,0.0493,0.1474,0.3742,0.893,1.0,1.0,1.0,6.7824,2.6723,1.1198
DOC,2021,Q3,0.2172,0.4542,0.4779,1.0008,1.0,1.0,1.0,2.2018,2.0926,0.9992
DOC,2021,FY,0.5051,1.7072,0.2586,1.1442,1.0,1.0,1.0,0.5857,3.8672,0.874
DOC,2022,Q2,0.7586,2.0795,0.4527,0.8058,3.7683,1.0,1.0,1.8121,2.2088,1.241
DOC,2022,Q3,0.2418,0.7703,0.3276,0.9583,1.0876,1.0,1.0,1.4119,3.0526,1.0435
DOC,2022,FY,0.0312,0.0728,0.4288,1.0,0.261,1.0134,1.0,3.5863,2.3635,1.0
DOC,2023,Q1,0.8601,0.8158,1.026,1.0276,1.0468,2.6302,1.0,1.2831,2.5635,0.9732
DOC,2023,Q2,0.3473,0.5255,0.6458,1.0233,0.5367,1.4561,1.0,1.0212,2.2549,0.9772
DOC,2023,Q3,0.1379,0.3111,0.4976,0.8907,0.362,1.0,1.0,1.1634,2.0096,1.1227
DOC,2023,FY,2.0207,3.8714,0.3987,1.3092,4.4066,1.0,1.0,1.1383,2.5083,0.7638
DOC,2024,Q1,8.3643,1.2927,5.0171,1.2897,1.0454,15.6276,1.0,0.8087,3.1149,0.7754
DOC,2024,Q2,0.4753,1.6154,0.3102,0.9484,1.2751,1.2814,1.0,0.7894,4.1306,1.0544
DOC,2024,Q3,0.5858,0.8157,0.6865,1.0461,0.7596,2.2973,1.0,0.9312,3.3466,0.9559
DOC,2025,Q1,0.4758,0.7833,0.5057,1.2009,1.092,1.0,1.0,1.3941,1.9773,0.8327
DOC,2025,Q2,0.2042,0.242,0.8548,0.987,0.4282,1.119,1.0,1.7692,1.3091,1.0132
DOC,2025,Q3,1.0171,1.2828,0.7875,1.0068,1.6707,0.9431,1.0,1.3024,1.1975,0.9933
DOC,2025,FY,0.1792,0.1687,0.9859,1.077,0.2769,1.2009,1.0,1.6414,1.218,0.9285
DOC,2026,Q1,4.4429,3.7334,1.11,1.0722,5.4257,1.3608,1.0,1.4533,1.226,0.9327
