ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
DT,2021,Q2,0.038,0.1191,0.3761,0.8475,1.0,1.0,1.007,8.3952,2.659,1.1882
DT,2022,Q1,0.032,0.0857,0.4352,0.8578,1.0,1.0,1.0213,11.6625,2.2975,1.1907
DT,2022,Q3,0.174,0.7024,0.2589,0.9567,1.0,1.0,1.0,1.4236,3.8621,1.0452
DT,2023,Q2,0.3026,1.0493,0.3068,0.94,1.3427,1.0,1.0,1.2796,3.2595,1.0638
DT,2023,Q3,0.3136,1.4549,0.2313,0.9319,1.3163,1.0645,1.0,0.9047,4.6026,1.0731
DT,2023,FY,0.1959,0.8137,0.2773,0.8684,1.0,1.1206,1.0,1.229,4.0407,1.1516
DT,2024,Q1,0.4907,1.0922,0.5165,0.87,1.2743,1.0,1.0,1.1668,1.9363,1.1495
DT,2024,Q2,0.6134,1.6745,0.4107,0.8919,1.234,1.0,1.0,0.7369,2.4348,1.1212
DT,2024,Q3,0.5851,1.3299,0.4966,0.886,1.2355,1.0,1.0,0.929,2.0138,1.1287
DT,2024,FY,0.3716,1.2461,0.3222,0.9255,1.6468,1.0,1.0254,1.3216,3.1036,1.1079
DT,2025,Q1,0.3657,1.1278,0.3627,0.8941,1.2455,1.1296,1.0,1.1043,3.1144,1.1185
DT,2025,Q2,0.4102,0.9455,0.4945,0.8772,1.2591,1.1134,1.0,1.3316,2.2513,1.14
DT,2025,Q3,6.6214,1.5876,4.0298,1.0349,1.4663,5.8611,1.1453,0.9236,1.4544,1.1066
DT,2026,Q1,0.7371,0.9341,0.768,1.0274,1.434,1.1117,1.1453,1.5351,1.4476,1.1148
DT,2026,Q2,1.1043,1.3103,0.7985,1.0555,1.4042,1.1311,1.1663,1.0717,1.4166,1.105
DT,2026,Q3,1.4876,1.1818,1.0843,1.1609,1.1818,1.0843,1.1609,1.0,1.0,1.0
DT,2026,FY,2.096,1.7422,1.0877,1.1061,1.7422,1.0877,1.1061,1.0,1.0,1.0
