ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
DUOL,2021,Q2,0.0377,0.1191,0.3765,0.8416,1.0,1.001,1.0,8.3952,2.659,1.1882
DUOL,2021,Q3,0.0247,0.1292,0.2121,0.8996,1.0,0.9548,1.0,7.7389,4.5013,1.1116
DUOL,2022,Q1,0.0313,0.0857,0.4352,0.8398,1.0,1.0,1.0,11.6625,2.2975,1.1907
DUOL,2022,Q2,0.0863,0.6038,0.1495,0.9561,1.4697,0.997,1.0,2.4341,6.6682,1.046
DUOL,2022,Q3,0.067,0.3938,0.1779,0.9567,0.5607,0.687,1.0,1.4236,3.8621,1.0452
DUOL,2022,FY,0.4491,0.9065,0.3426,1.4459,1.0,1.0,1.7323,1.1032,2.9185,1.198
DUOL,2023,Q1,0.6419,1.7218,0.4273,0.8725,1.4671,0.8698,1.0,0.8521,2.0358,1.1461
DUOL,2023,Q2,1.4265,3.2228,0.3068,1.4427,4.1239,1.0,1.5348,1.2796,3.2595,1.0638
DUOL,2023,Q3,0.2836,1.6696,0.1823,0.9319,1.5106,0.8389,1.0,0.9047,4.6026,1.0731
DUOL,2024,Q1,0.5364,1.2205,0.5052,0.87,1.424,0.9782,1.0,1.1668,1.9363,1.1495
DUOL,2024,Q3,0.6926,1.5421,0.5069,0.886,1.4326,1.0208,1.0,0.929,2.0138,1.1287
DUOL,2024,FY,0.2792,1.1149,0.2775,0.9026,1.4734,0.8612,1.0,1.3216,3.1036,1.1079
DUOL,2025,Q1,0.4488,1.3118,0.3827,0.8941,1.4487,1.1917,1.0,1.1043,3.1144,1.1185
DUOL,2025,Q2,0.5222,0.7812,0.5401,1.2376,1.0403,1.2158,1.4109,1.3316,2.2513,1.14
DUOL,2025,Q3,1.8767,2.1377,0.6876,1.2769,1.9743,1.0,1.413,0.9236,1.4544,1.1066
DUOL,2025,FY,2.0195,1.7628,1.3096,0.8748,2.8081,1.6641,1.0,1.593,1.2707,1.1431
DUOL,2026,Q1,1.1398,1.1352,0.8116,1.2372,1.7425,1.1749,1.3791,1.5351,1.4476,1.1148
