ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
D,2020,Q2,0.4746,1.0,0.5256,0.903,1.0,1.0,0.8627,1.0,1.9026,0.9555
D,2020,FY,0.2409,1.0,0.2087,1.1544,1.0,1.0506,1.0,1.0,5.0347,0.8663
D,2021,Q1,0.065,1.0,0.0757,0.8589,1.0,1.0,0.8257,1.0,13.2075,0.9613
D,2021,Q3,0.1353,0.2662,0.5389,0.9427,1.0,1.2406,0.8892,3.7561,2.302,0.9433
D,2022,Q2,0.3286,0.5841,0.5418,1.0383,0.8603,1.0,1.0,1.4728,1.8457,0.9632
D,2022,FY,0.1016,0.3465,0.2415,1.2137,1.2507,1.0,1.0,3.6095,4.1411,0.8239
D,2023,Q1,0.3868,1.0048,0.3714,1.0362,1.1057,1.1993,1.0,1.1004,3.2287,0.965
D,2023,Q2,0.3909,1.0479,0.3589,1.0392,1.2302,1.0,1.0,1.174,2.7859,0.9623
D,2023,Q3,0.8684,1.8919,0.4373,1.0497,3.1622,1.1933,1.0449,1.6715,2.7289,0.9954
D,2023,FY,0.2019,0.7461,0.2452,1.1035,0.6579,1.0,1.0,0.8817,4.0777,0.9062
D,2024,Q1,0.2038,0.9258,0.2122,1.0374,0.8236,1.0,1.0164,0.8896,4.7124,0.9798
D,2024,FY,0.0889,0.2601,0.3901,0.8763,0.3031,1.0,1.0,1.1651,2.5634,1.1412
D,2025,Q1,0.2565,0.9446,0.2762,0.9834,1.1592,1.0,0.9003,1.2272,3.6211,0.9155
D,2025,Q2,1.2304,1.5825,0.8184,0.9501,2.0785,1.2206,0.8732,1.3135,1.4913,0.9191
D,2025,Q3,0.5855,0.6493,0.9248,0.975,1.1431,1.0882,0.9454,1.7604,1.1766,0.9697
D,2025,FY,2.5225,0.7554,3.2573,1.0251,1.1582,3.7379,1.0,1.5331,1.1476,0.9755
D,2026,Q1,0.7478,0.842,0.9407,0.9441,1.2463,1.1823,0.9195,1.4801,1.2568,0.9739
