ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ECHO,2020,Q2,0.726,1.0,0.6777,1.0712,1.0,1.0,1.2757,1.0,1.4755,1.1909
ECHO,2021,Q3,0.0036,0.059,0.0801,0.7671,1.0,1.0517,1.0,16.9419,13.1286,1.3035
ECHO,2021,FY,0.1868,0.4892,0.4195,0.9103,1.0,1.0,1.0,2.0441,2.3839,1.0986
ECHO,2022,Q1,0.0109,0.0293,0.478,0.7813,1.0,1.1915,1.0,34.1426,2.4926,1.2799
ECHO,2022,Q2,0.0537,0.555,0.1324,0.7312,1.0879,1.0753,1.0,1.9601,8.1225,1.3677
ECHO,2022,Q3,0.185,0.9953,0.2349,0.7913,1.0658,1.0637,1.0,1.0708,4.5281,1.2638
ECHO,2023,Q1,0.2854,0.8144,0.2354,1.489,0.9109,1.0,1.793,1.1186,4.2485,1.2041
ECHO,2023,FY,0.488,3.3651,0.1598,0.9076,2.0692,0.9719,1.0,0.6149,6.0834,1.1018
ECHO,2024,Q2,0.5637,3.8926,0.1684,0.8598,8.7158,1.0,1.0,2.2391,5.9372,1.163
ECHO,2024,Q3,13.3981,25.8054,0.5746,0.9036,23.4982,1.0,0.8744,0.9106,1.7404,0.9677
ECHO,2024,FY,0.4661,1.5776,0.3799,0.7778,3.8515,1.0,1.0,2.4413,2.6324,1.2857
ECHO,2025,Q1,2.0167,6.1086,0.3337,0.9895,8.803,1.0,1.0809,1.4411,2.9971,1.0924
ECHO,2025,Q2,1.3372,1.9872,0.6725,1.0007,1.7433,0.9612,1.0682,0.8773,1.4293,1.0675
ECHO,2025,Q3,0.1891,0.6739,0.3611,0.7771,0.9452,0.4672,0.846,1.4027,1.2938,1.0887
ECHO,2025,FY,0.2875,0.7321,0.3976,0.9876,0.9482,0.5086,1.0,1.2952,1.2791,1.0126
ECHO,2026,Q1,0.298,0.7861,0.6288,0.6028,0.9477,0.9614,0.6707,1.2055,1.529,1.1126
