ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ECL,2021,Q2,0.2954,1.0135,0.2806,1.0388,1.0,1.0,1.2397,0.9867,3.564,1.1934
ECL,2021,Q3,0.3531,0.7114,0.5322,0.9324,1.0,1.0983,1.1988,1.4056,2.0637,1.2857
ECL,2021,FY,0.0424,0.2766,0.2048,0.7488,1.0,1.0,1.0,3.6156,4.8831,1.3355
ECL,2022,Q1,0.0602,0.271,0.2537,0.8758,1.0,1.0,1.0824,3.6901,3.9424,1.2358
ECL,2022,FY,0.3118,0.878,0.428,0.8295,1.1662,1.5152,1.0,1.3282,3.5398,1.2056
ECL,2023,Q1,0.2041,0.7889,0.3172,0.8157,1.0933,1.0,1.0551,1.3859,3.1528,1.2935
ECL,2023,Q3,0.1899,0.4518,0.4573,0.9191,0.4225,1.0,1.0796,0.9351,2.1869,1.1746
ECL,2023,FY,0.8657,2.6176,0.3776,0.8758,4.2168,1.0834,1.0928,1.6109,2.8688,1.2478
ECL,2024,Q1,0.4507,1.1281,0.429,0.9313,1.0505,1.0,1.1209,0.9312,2.3312,1.2036
ECL,2024,FY,0.1984,0.3567,0.5561,1.0,0.2823,2.138,1.0,0.7914,3.8445,1.0
ECL,2025,Q2,0.4619,0.4969,0.9856,0.9431,0.6656,1.2991,1.1296,1.3393,1.3181,1.1978
ECL,2025,Q3,1.0386,1.0158,1.0236,0.9989,1.0523,1.1649,1.1927,1.0359,1.1381,1.194
ECL,2025,FY,2.6455,2.8113,1.0512,0.8952,4.0151,1.1497,1.0,1.4282,1.0936,1.1171
ECL,2026,Q1,0.6608,0.8058,0.9818,0.8353,1.0837,1.1203,0.9971,1.345,1.141,1.1937
