ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
EFX,2020,FY,0.516,1.0,0.5916,0.8723,1.0,1.0192,1.0,1.0,1.7229,1.1464
EFX,2021,Q1,0.001,0.007,0.1745,0.784,1.0,1.2009,0.8925,143.2132,6.8836,1.1385
EFX,2021,Q3,0.118,0.5497,0.2481,0.8652,1.0,1.0,1.0,1.8193,4.0308,1.1558
EFX,2022,Q2,0.2676,0.7303,0.3999,0.9162,1.0,1.0,1.0,1.3694,2.5004,1.0914
EFX,2022,Q3,0.1317,0.4409,0.3903,0.7653,0.4135,1.1536,0.8624,0.9378,2.9554,1.1269
EFX,2022,FY,0.2884,0.7294,0.4395,0.8997,1.241,1.0,1.0,1.7015,2.2753,1.1114
EFX,2023,Q1,0.2333,0.8314,0.3265,0.8594,1.0734,1.0955,0.9174,1.2911,3.3549,1.0674
EFX,2023,Q2,0.9572,2.3142,0.4315,0.9586,2.1215,1.1069,1.0639,0.9167,2.5652,1.1099
EFX,2024,Q2,0.2303,0.4277,0.6085,0.885,0.5461,1.2528,0.9257,1.2768,2.059,1.046
EFX,2024,Q3,1.1722,2.6134,0.4911,0.9134,3.425,1.0343,0.959,1.3106,2.1063,1.0499
EFX,2024,FY,0.4174,0.9548,0.4756,0.919,1.1091,1.119,1.0,1.1616,2.3526,1.0881
EFX,2025,Q1,0.328,1.0057,0.3459,0.9429,1.0671,1.0,1.0,1.0611,2.891,1.0606
EFX,2025,Q3,0.3941,0.3761,1.236,0.8479,0.3625,1.4616,0.9035,0.9639,1.1825,1.0657
EFX,2025,FY,0.5955,0.7706,0.971,0.7959,1.0692,1.1228,1.0,1.3875,1.1563,1.2565
EFX,2026,Q1,0.6282,0.8301,0.9404,0.8048,1.1868,1.1174,0.8465,1.4297,1.1883,1.0518
EFX,2026,Q2,1.1263,1.1885,1.1222,0.8445,1.1885,1.1222,0.8445,1.0,1.0,1.0
