ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
EME,2021,Q2,0.0641,0.2709,0.2671,0.8855,1.0,1.0,1.0,3.6914,3.7439,1.1293
EME,2021,Q3,0.1214,0.5497,0.2552,0.8652,1.0,1.0286,1.0,1.8193,4.0308,1.1558
EME,2021,FY,0.2151,1.0634,0.2188,0.9244,1.0,1.0,1.0,0.9404,4.5697,1.0818
EME,2022,Q1,0.3047,0.5732,0.5781,0.9193,1.0,1.0382,1.0,1.7445,1.7957,1.0878
EME,2022,Q2,0.3501,0.8839,0.4323,0.9162,1.2103,1.0808,1.0,1.3694,2.5004,1.0914
EME,2022,Q3,0.4129,1.2213,0.381,0.8874,1.1453,1.1259,1.0,0.9378,2.9554,1.1269
EME,2023,Q1,0.2434,0.8715,0.2981,0.9368,1.1252,1.0,1.0,1.2911,3.3549,1.0674
EME,2023,Q2,0.442,1.2115,0.4049,0.901,1.1106,1.0386,1.0,0.9167,2.5652,1.1099
EME,2023,Q3,0.4441,1.0108,0.4532,0.9695,1.1208,1.0,1.0,1.1088,2.2067,1.0314
EME,2023,FY,0.2586,0.7785,0.3828,0.8675,1.1184,1.0,1.0793,1.4366,2.6121,1.2441
EME,2024,Q1,0.5149,1.0667,0.5263,0.9172,1.1149,1.0401,1.0,1.0452,1.9762,1.0902
EME,2024,Q2,0.4091,0.8811,0.4857,0.956,1.1249,1.0,1.0,1.2768,2.059,1.046
EME,2024,Q3,0.3916,0.866,0.4748,0.9525,1.1349,1.0,1.0,1.3106,2.1063,1.0499
EME,2024,FY,0.3821,0.978,0.4251,0.919,1.136,1.0,1.0,1.1616,2.3526,1.0881
EME,2025,Q1,0.365,1.1191,0.3459,0.9429,1.1875,1.0,1.0,1.0611,2.891,1.0606
EME,2025,Q2,0.7646,1.1211,0.6947,0.9818,1.4133,1.1443,1.0561,1.2606,1.6473,1.0757
EME,2025,Q3,1.4538,1.3912,1.0503,0.9949,1.341,1.242,1.0602,0.9639,1.1825,1.0657
EME,2025,FY,0.7239,0.9729,0.9348,0.7959,1.35,1.081,1.0,1.3875,1.1563,1.2565
EME,2026,Q1,0.8726,0.9431,0.901,1.0269,1.3484,1.0707,1.08,1.4297,1.1883,1.0518
