ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ENTG,2020,FY,0.4841,1.0,0.6095,0.7942,1.0,1.0,1.0,1.0,1.6406,1.2591
ENTG,2021,Q2,0.062,0.1191,0.3761,1.3842,1.0,1.0,1.6448,8.3952,2.659,1.1882
ENTG,2021,FY,0.0372,0.4911,0.0822,0.9227,1.0727,1.0,1.0,2.1843,12.1705,1.0837
ENTG,2022,Q1,0.0313,0.0857,0.4352,0.8398,1.0,1.0,1.0,11.6625,2.2975,1.1907
ENTG,2022,Q3,0.2406,0.7024,0.2589,1.3227,1.0,1.0,1.3825,1.4236,3.8621,1.0452
ENTG,2022,FY,1.769,6.1853,0.3426,0.8347,6.8235,1.0,1.0,1.1032,2.9185,1.198
ENTG,2023,Q1,0.6372,1.4866,0.4912,0.8725,1.2668,1.0,1.0,0.8521,2.0358,1.1461
ENTG,2023,FY,0.0557,0.2014,0.3183,0.8684,0.2475,1.286,1.0,1.229,4.0407,1.1516
ENTG,2024,Q1,0.5468,1.2169,0.5165,0.87,1.4198,1.0,1.0,1.1668,1.9363,1.1495
ENTG,2024,Q2,0.5702,1.0171,0.4107,1.365,0.7495,1.0,1.5305,0.7369,2.4348,1.1212
ENTG,2024,Q3,0.6932,1.102,0.4966,1.2668,1.0237,1.0,1.4299,0.929,2.0138,1.1287
ENTG,2025,Q1,0.2173,0.7569,0.3211,0.8941,0.8359,1.0,1.0,1.1043,3.1144,1.1185
ENTG,2025,Q2,0.4973,0.7323,0.5201,1.3056,0.9751,1.171,1.4884,1.3316,2.2513,1.14
ENTG,2025,Q3,1.0938,1.0743,0.7461,1.3646,0.9922,1.0852,1.5102,0.9236,1.4544,1.1066
ENTG,2025,FY,1.836,2.4704,0.8496,0.8748,3.9353,1.0796,1.0,1.593,1.2707,1.1431
ENTG,2026,Q1,0.7076,0.686,0.7791,1.3239,1.053,1.1278,1.4758,1.5351,1.4476,1.1148
