ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
EOG,2020,Q2,0.9968,1.0,0.8876,1.1231,1.0,0.8661,1.2874,1.0,0.9758,1.1464
EOG,2020,Q3,0.399,1.0,0.3666,1.0884,1.0,0.9814,1.1905,1.0,2.6775,1.0937
EOG,2020,FY,0.2246,1.0,0.2246,1.0,1.0,1.1284,1.0,1.0,5.024,1.0
EOG,2021,Q3,0.7939,3.4208,0.2025,1.1461,5.6104,1.2701,1.2825,1.6401,6.2719,1.119
EOG,2022,Q1,0.131,0.1736,0.8162,0.9246,1.0,1.2244,1.0,5.7608,1.5001,1.0816
EOG,2022,Q2,0.1498,0.3412,0.4614,0.952,0.711,1.2806,1.0,2.0842,2.7758,1.0504
EOG,2022,FY,7.7298,16.7453,0.4545,1.0157,8.667,1.4324,1.0,0.5176,3.1519,0.9845
EOG,2023,Q1,0.1483,1.3356,0.1211,0.9166,1.0782,1.1085,1.0,0.8073,9.1519,1.0909
EOG,2023,Q2,1.2032,1.6453,0.7856,0.9309,1.7896,1.433,1.0,1.0877,1.8239,1.0743
EOG,2023,Q3,0.5403,0.4758,0.8966,1.2664,0.4931,1.4854,1.344,1.0363,1.6567,1.0613
EOG,2023,FY,0.0206,0.1952,0.1153,0.9154,0.7253,1.3337,1.0,3.7159,11.5671,1.0924
EOG,2024,Q1,0.773,0.9979,0.8346,0.9282,1.5174,1.5031,1.0,1.5206,1.8011,1.0774
EOG,2024,Q2,1.1365,1.2892,0.763,1.1554,0.8134,1.3899,1.2843,0.6309,1.8216,1.1115
EOG,2025,Q1,0.5089,0.9942,0.5295,0.9667,1.0131,1.4128,1.0,1.019,2.6682,1.0344
EOG,2025,Q2,0.7899,0.6028,1.1179,1.1721,0.9092,1.3254,1.2134,1.5082,1.1857,1.0352
EOG,2025,Q3,0.8353,0.6026,1.2365,1.1212,0.9412,1.3362,1.1754,1.5621,1.0806,1.0484
EOG,2025,FY,0.875,1.1625,1.1663,0.6453,1.214,1.2821,1.0,1.0443,1.0993,1.5496
EOG,2026,Q1,1.4535,0.9877,1.289,1.1416,1.1303,1.4007,1.1972,1.1444,1.0867,1.0486
