ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
EQIX,2020,FY,0.1147,1.0,0.1147,1.0,1.0,1.0,1.0,1.0,8.7205,1.0
EQIX,2021,Q2,0.2952,0.6477,0.5364,0.8496,1.0,1.207,1.0,1.544,2.2501,1.177
EQIX,2021,Q3,0.2172,0.4542,0.4779,1.0008,1.0,1.0,1.0,2.2018,2.0926,0.9992
EQIX,2022,Q1,0.1229,0.2348,0.5521,0.9483,1.0,1.0,1.0,4.2584,1.8113,1.0545
EQIX,2022,Q2,0.6173,1.3332,0.4527,1.0228,2.4159,1.0,1.2693,1.8121,2.2088,1.241
EQIX,2022,Q3,1.0946,2.513,0.341,1.2774,3.5481,1.0409,1.333,1.4119,3.0526,1.0435
EQIX,2022,FY,0.1428,0.3376,0.4231,1.0,1.2108,1.0,1.0,3.5863,2.3635,1.0
EQIX,2023,Q1,0.3395,0.8469,0.3901,1.0276,1.0867,1.0,1.0,1.2831,2.5635,0.9732
EQIX,2023,Q2,0.6352,1.1074,0.4435,1.2934,1.1309,1.0,1.2639,1.0212,2.2549,0.9772
EQIX,2023,FY,0.4189,0.8026,0.3987,1.3092,0.9136,1.0,1.0,1.1383,2.5083,0.7638
EQIX,2024,Q2,0.1669,0.681,0.2421,1.0122,0.5375,1.0,1.0672,0.7894,4.1306,1.0544
EQIX,2024,Q3,0.4861,1.2919,0.3426,1.0982,1.203,1.1465,1.0497,0.9312,3.3466,0.9559
EQIX,2025,Q1,0.5343,0.8796,0.5057,1.2009,1.2263,1.0,1.0,1.3941,1.9773,0.8327
EQIX,2025,Q2,0.5147,0.5906,0.7639,1.1409,1.0449,1.0,1.1559,1.7692,1.3091,1.0132
EQIX,2025,Q3,0.3227,0.2741,0.9959,1.182,0.357,1.1926,1.174,1.3024,1.1975,0.9933
EQIX,2025,FY,0.8767,0.8462,0.9619,1.077,1.389,1.1716,1.0,1.6414,1.218,0.9285
EQIX,2026,Q1,0.8796,0.7907,0.9825,1.1323,1.149,1.2045,1.0561,1.4533,1.226,0.9327
