ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ESAB,2022,Q1,0.3437,0.5732,0.5569,1.0767,1.0,1.0,1.1712,1.7445,1.7957,1.0878
ESAB,2022,Q2,0.3016,0.7303,0.4508,0.9162,1.0,1.1271,1.0,1.3694,2.5004,1.0914
ESAB,2022,Q3,0.3759,1.0663,0.3384,1.0418,1.0,1.0,1.174,0.9378,2.9554,1.1269
ESAB,2022,FY,0.2548,0.5877,0.4819,0.8997,1.0,1.0964,1.0,1.7015,2.2753,1.1114
ESAB,2023,Q1,0.2854,0.8177,0.3133,1.1142,1.0557,1.051,1.1894,1.2911,3.3549,1.0674
ESAB,2023,Q2,0.5395,1.2789,0.3898,1.0822,1.1724,1.0,1.2011,0.9167,2.5652,1.1099
ESAB,2023,Q3,0.6763,0.9901,0.5918,1.1542,1.0979,1.306,1.1905,1.1088,2.2067,1.0314
ESAB,2023,FY,0.2292,0.7448,0.3828,0.8038,1.0699,1.0,1.0,1.4366,2.6121,1.2441
ESAB,2024,Q2,0.2552,0.3943,0.5502,1.1762,0.5034,1.1328,1.2303,1.2768,2.059,1.046
ESAB,2024,FY,0.3322,0.8503,0.4251,0.919,0.9878,1.0,1.0,1.1616,2.3526,1.0881
ESAB,2025,Q1,0.3403,0.9503,0.3798,0.9429,1.0084,1.0981,1.0,1.0611,2.891,1.0606
ESAB,2025,Q2,1.1018,1.5637,0.6071,1.1607,1.9712,1.0,1.2486,1.2606,1.6473,1.0757
ESAB,2025,Q3,1.496,1.1088,1.1425,1.181,1.0688,1.351,1.2585,0.9639,1.1825,1.0657
ESAB,2025,FY,0.5604,0.7475,0.9421,0.7959,1.0371,1.0894,1.0,1.3875,1.1563,1.2565
ESAB,2026,Q1,0.9313,0.7561,0.9011,1.3671,1.081,1.0707,1.4379,1.4297,1.1883,1.0518
