ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
ESS,2020,Q2,0.1879,1.0,0.2181,0.8616,1.0,1.0,1.0,1.0,4.5856,1.1607
ESS,2020,Q3,0.279,1.0,0.2799,0.9967,1.0,1.7825,1.0,1.0,6.3673,1.0033
ESS,2021,Q2,0.003,0.0078,0.4444,0.8496,0.0121,1.0,1.0,1.544,2.2501,1.177
ESS,2021,Q3,0.1061,0.1454,0.729,1.0008,0.3201,1.5255,1.0,2.2018,2.0926,0.9992
ESS,2022,Q1,0.1229,0.2348,0.5521,0.9483,1.0,1.0,1.0,4.2584,1.8113,1.0545
ESS,2022,Q2,18.0135,49.3784,0.4527,0.8058,89.4805,1.0,1.0,1.8121,2.2088,1.241
ESS,2022,FY,0.1615,0.2788,0.5792,1.0,1.0,1.3689,1.0,3.5863,2.3635,1.0
ESS,2023,Q1,47.9113,119.5289,0.3901,1.0276,153.3734,1.0,1.0,1.2831,2.5635,0.9732
ESS,2023,Q2,0.9204,2.0282,0.4435,1.0233,2.0713,1.0,1.0,1.0212,2.2549,0.9772
ESS,2023,Q3,1.4154,2.9554,0.5377,0.8907,3.4384,1.0806,1.0,1.1634,2.0096,1.1227
ESS,2023,FY,0.4764,0.9128,0.3987,1.3092,1.0389,1.0,1.0,1.1383,2.5083,0.7638
ESS,2024,Q1,0.53,1.28,0.321,1.2897,1.0352,1.0,1.0,0.8087,3.1149,0.7754
ESS,2024,Q2,0.0009,0.0039,0.2421,0.9484,0.0031,1.0,1.0,0.7894,4.1306,1.0544
ESS,2024,FY,0.0026,0.0062,0.4035,1.0513,0.0061,1.0,1.0,0.9918,2.4782,0.9512
ESS,2025,Q2,0.7813,1.0362,0.7639,0.987,1.8333,1.0,1.0,1.7692,1.3091,1.0132
ESS,2025,Q3,0.0037,0.0044,0.8351,1.0068,0.0057,1.0,1.0,1.3024,1.1975,0.9933
ESS,2025,FY,157.8128,112.0125,1.3081,1.077,183.8622,1.5933,1.0,1.6414,1.218,0.9285
ESS,2026,Q1,0.0033,0.0037,0.8156,1.0722,0.0054,1.0,1.0,1.4533,1.226,0.9327
