ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
EXE,2021,Q2,0.1892,0.6024,0.384,0.8181,1.0,1.0,0.8986,1.66,2.6044,1.0985
EXE,2021,Q3,0.0081,0.6097,0.0149,0.8937,1.0,0.0933,1.0,1.6401,6.2719,1.119
EXE,2021,FY,0.1042,0.8019,0.1299,1.0,1.0,0.3496,1.0,1.247,2.6902,1.0
EXE,2022,Q1,0.1609,0.1736,1.0028,0.9246,1.0,1.5043,1.0,5.7608,1.5001,1.0816
EXE,2022,Q3,0.947,1.7636,0.7282,0.7374,3.2938,1.0,0.7861,1.8677,1.3732,1.0661
EXE,2023,Q1,0.1318,1.3161,0.1093,0.9166,1.0625,1.0,1.0,0.8073,9.1519,1.0909
EXE,2023,Q2,2.3833,4.6698,0.5483,0.9309,5.0794,1.0,1.0,1.0877,1.8239,1.0743
EXE,2023,Q3,0.3043,0.4614,0.6036,1.0924,0.4782,1.0,1.1593,1.0363,1.6567,1.0613
EXE,2023,FY,0.0226,0.285,0.0865,0.9154,1.059,1.0,1.0,3.7159,11.5671,1.0924
EXE,2024,Q1,1.2215,2.3702,0.5552,0.9282,3.6043,1.0,1.0,1.5206,1.8011,1.0774
EXE,2024,Q2,0.4205,0.8515,0.549,0.8996,0.5372,1.0,1.0,0.6309,1.8216,1.1115
EXE,2024,FY,0.6655,1.8076,0.3724,0.9886,2.1162,1.0,1.0,1.1708,2.6851,1.0115
EXE,2025,Q1,0.1169,0.3148,0.384,0.9667,0.3208,1.0246,1.0,1.019,2.6682,1.0344
EXE,2025,Q2,0.9691,1.2938,0.8434,0.8881,1.9513,1.0,0.9193,1.5082,1.1857,1.0352
EXE,2025,Q3,1.267,1.2558,1.1347,0.8892,1.9616,1.2261,0.9322,1.5621,1.0806,1.0484
EXE,2025,FY,0.6828,0.9887,1.0702,0.6453,1.0324,1.1765,1.0,1.0443,1.0993,1.5496
EXE,2026,Q1,4.3865,3.5544,1.2496,0.9876,4.0675,1.3579,1.0356,1.1444,1.0867,1.0486
