ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
FE,2020,Q2,0.5475,1.0,0.5681,0.9637,1.0,1.0808,0.9208,1.0,1.9026,0.9555
FE,2020,Q3,0.1125,1.0,0.116,0.9694,1.0,1.0,0.889,1.0,8.6186,0.917
FE,2020,FY,0.2293,1.0,0.1986,1.1544,1.0,1.0,1.0,1.0,5.0347,0.8663
FE,2021,Q2,0.1411,0.4064,0.3657,0.9493,0.5096,1.0,0.9381,1.2538,2.7344,0.9882
FE,2022,Q1,0.1755,0.5818,0.3052,0.9882,1.0,1.0,1.0,1.7188,3.2766,1.012
FE,2022,Q2,0.8422,1.5107,0.5901,0.9447,2.2249,1.0891,0.9099,1.4728,1.8457,0.9632
FE,2022,Q3,0.8483,1.4716,0.542,1.0634,1.0338,1.174,1.0,0.7025,2.1659,0.9403
FE,2022,FY,0.0955,0.2882,0.2729,1.2137,1.0403,1.1303,1.0,3.6095,4.1411,0.8239
FE,2023,Q1,0.3539,0.9965,0.3427,1.0362,1.0965,1.1066,1.0,1.1004,3.2287,0.965
FE,2023,Q3,0.2711,0.6655,0.4054,1.0046,1.1124,1.1063,1.0,1.6715,2.7289,0.9954
FE,2023,FY,0.2914,1.2693,0.2452,0.936,1.1192,1.0,0.8482,0.8817,4.0777,0.9062
FE,2024,Q1,0.2317,1.2362,0.2122,0.8831,1.0997,1.0,0.8652,0.8896,4.7124,0.9798
FE,2024,Q2,0.4452,1.1274,0.482,0.8193,1.1309,1.0,0.8003,1.0031,2.0749,0.9768
FE,2024,Q3,1.0977,1.5781,0.6554,1.0614,1.0035,1.3931,1.0,0.6359,2.1256,0.9422
FE,2025,Q2,0.243,0.3919,0.6705,0.9249,0.5147,1.0,0.8501,1.3135,1.4913,0.9191
FE,2025,Q3,1.5356,1.8397,0.8919,0.9359,3.2386,1.0494,0.9075,1.7604,1.1766,0.9697
FE,2025,FY,0.7569,0.79,0.9346,1.0251,1.2112,1.0725,1.0,1.5331,1.1476,0.9755
FE,2026,Q1,0.639,0.8637,0.8949,0.8266,1.2784,1.1247,0.8051,1.4801,1.2568,0.9739
