ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
FFIV,2021,Q3,0.0265,0.1292,0.2222,0.9237,1.0,1.0,1.0268,7.7389,4.5013,1.1116
FFIV,2021,FY,0.0347,0.4578,0.0822,0.9227,1.0,1.0,1.0,2.1843,12.1705,1.0837
FFIV,2022,Q1,0.0365,0.0857,0.5063,0.8398,1.0,1.1633,1.0,11.6625,2.2975,1.1907
FFIV,2022,Q2,0.0631,0.4108,0.1607,0.9561,1.0,1.0718,1.0,2.4341,6.6682,1.046
FFIV,2022,Q3,0.1857,0.7296,0.2702,0.9421,1.0387,1.0434,0.9847,1.4236,3.8621,1.0452
FFIV,2023,Q1,0.6405,1.291,0.5686,0.8725,1.1,1.1576,1.0,0.8521,2.0358,1.1461
FFIV,2023,Q2,0.2431,0.7681,0.3366,0.94,0.9829,1.0973,1.0,1.2796,3.2595,1.0638
FFIV,2023,FY,0.1889,0.8792,0.2475,0.8684,1.0806,1.0,1.0,1.229,4.0407,1.1516
FFIV,2024,Q1,0.4222,0.8639,0.5165,0.9463,1.008,1.0,1.0877,1.1668,1.9363,1.1495
FFIV,2024,Q2,1.175,2.9397,0.4107,0.9732,2.1663,1.0,1.0911,0.7369,2.4348,1.1212
FFIV,2024,Q3,0.1909,0.379,0.5686,0.886,0.3521,1.145,1.0,0.929,2.0138,1.1287
FFIV,2024,FY,0.2395,0.7251,0.3659,0.9026,0.9583,1.1357,1.0,1.3216,3.1036,1.1079
FFIV,2025,Q3,1.1554,1.2025,0.9087,1.0573,1.1106,1.3216,1.1701,0.9236,1.4544,1.1066
FFIV,2025,FY,0.6381,0.7191,1.0144,0.8748,1.1455,1.289,1.0,1.593,1.2707,1.1431
FFIV,2026,Q1,0.7109,0.7736,0.8844,1.039,1.1875,1.2803,1.1582,1.5351,1.4476,1.1148
FFIV,2026,Q2,0.9139,1.1099,0.7761,1.061,1.1894,1.0994,1.1724,1.0717,1.4166,1.105
