ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
FICO,2021,Q1,0.0031,0.0132,0.2706,0.8665,1.0,1.0,1.0915,75.587,3.6958,1.2596
FICO,2021,Q2,0.0389,0.1191,0.3761,0.8694,1.0,1.0,1.033,8.3952,2.659,1.1882
FICO,2021,Q3,0.0258,0.1292,0.2222,0.8996,1.0,1.0,1.0,7.7389,4.5013,1.1116
FICO,2022,Q2,0.0672,0.4337,0.15,1.0326,1.0556,1.0,1.08,2.4341,6.6682,1.046
FICO,2022,Q3,0.3392,0.7572,0.4683,0.9567,1.0779,1.8086,1.0,1.4236,3.8621,1.0452
FICO,2023,Q1,0.7047,1.2109,0.667,0.8725,1.0318,1.3579,1.0,0.8521,2.0358,1.1461
FICO,2023,Q3,0.2995,1.303,0.2173,1.058,1.1789,1.0,1.1353,0.9047,4.6026,1.0731
FICO,2023,FY,0.6149,2.8615,0.2475,0.8684,3.5168,1.0,1.0,1.229,4.0407,1.1516
FICO,2024,Q1,0.5747,0.9169,0.7204,0.87,1.0698,1.395,1.0,1.1668,1.9363,1.1495
FICO,2024,Q2,0.2782,0.7593,0.4107,0.8919,0.5596,1.0,1.0,0.7369,2.4348,1.1212
FICO,2024,Q3,1.8499,3.4119,0.4966,1.0918,3.1697,1.0,1.2324,0.929,2.0138,1.1287
FICO,2024,FY,0.2871,0.9872,0.3222,0.9026,1.3046,1.0,1.0,1.3216,3.1036,1.1079
FICO,2025,Q1,0.4033,1.1552,0.3211,1.0873,1.2758,1.0,1.2161,1.1043,3.1144,1.1185
FICO,2025,Q2,0.4763,0.8567,0.6338,0.8772,1.1408,1.427,1.0,1.3316,2.2513,1.14
FICO,2025,Q3,0.4203,0.4596,1.04,0.8792,0.4245,1.5126,0.973,0.9236,1.4544,1.1066
FICO,2025,FY,0.7449,0.7277,1.1702,0.8748,1.1591,1.4869,1.0,1.593,1.2707,1.1431
FICO,2026,Q1,0.6637,0.758,1.0002,0.8754,1.1636,1.4479,0.9758,1.5351,1.4476,1.1148
FICO,2026,Q2,2.0082,1.4878,1.1429,1.181,1.5944,1.619,1.305,1.0717,1.4166,1.105
