ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
FLS,2021,Q2,0.0873,0.2709,0.2765,1.1657,1.0,1.035,1.3165,3.6914,3.7439,1.1293
FLS,2021,Q3,0.118,0.5497,0.2481,0.8652,1.0,1.0,1.0,1.8193,4.0308,1.1558
FLS,2021,FY,0.2191,1.0634,0.2229,0.9244,1.0,1.0185,1.0,0.9404,4.5697,1.0818
FLS,2022,Q1,0.2934,0.5732,0.5569,0.9193,1.0,1.0,1.0,1.7445,1.7957,1.0878
FLS,2022,Q2,0.3319,0.7085,0.3999,1.1713,0.9703,1.0,1.2784,1.3694,2.5004,1.0914
FLS,2023,Q1,0.2037,0.7418,0.2932,0.9368,0.9577,0.9836,1.0,1.2911,3.3549,1.0674
FLS,2023,Q3,0.3722,0.847,0.4532,0.9695,0.9392,1.0,1.0,1.1088,2.2067,1.0314
FLS,2023,FY,1.0065,3.2708,0.3828,0.8038,4.6988,1.0,1.0,1.4366,2.6121,1.2441
FLS,2024,Q1,0.7255,1.2672,0.506,1.1314,1.3245,1.0,1.2335,1.0452,1.9762,1.0902
FLS,2024,Q2,0.2307,0.4968,0.4857,0.956,0.6343,1.0,1.0,1.2768,2.059,1.046
FLS,2024,Q3,0.6061,1.0004,0.5055,1.1986,1.311,1.0647,1.2583,1.3106,2.1063,1.0499
FLS,2024,FY,0.3548,0.9081,0.4251,0.919,1.0549,1.0,1.0,1.1616,2.3526,1.0881
FLS,2025,Q2,0.734,0.8723,0.7068,1.1905,1.0997,1.1643,1.2806,1.2606,1.6473,1.0757
FLS,2025,Q3,1.1684,1.0772,0.9022,1.2022,1.0384,1.0668,1.2812,0.9639,1.1825,1.0657
FLS,2025,FY,0.5554,0.7478,0.9331,0.7959,1.0376,1.079,1.0,1.3875,1.1563,1.2565
FLS,2026,Q1,0.7799,0.6871,0.9156,1.2398,0.9823,1.088,1.304,1.4297,1.1883,1.0518
