ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
FOUR,2020,Q3,0.5541,1.0,0.4225,1.3115,1.0,0.9911,1.5652,1.0,2.3458,1.1935
FOUR,2021,Q2,0.0372,0.1191,0.3706,0.8416,1.0,0.9854,1.0,8.3952,2.659,1.1882
FOUR,2022,Q1,0.0258,0.0857,0.3588,0.8398,1.0,0.8243,1.0,11.6625,2.2975,1.1907
FOUR,2022,Q2,0.3624,1.4681,0.1545,1.5973,3.5733,1.0305,1.6707,2.4341,6.6682,1.046
FOUR,2022,Q3,0.7025,1.8394,0.2674,1.4285,2.6185,1.0326,1.4931,1.4236,3.8621,1.0452
FOUR,2022,FY,0.2593,0.9065,0.3426,0.8347,1.0,1.0,1.0,1.1032,2.9185,1.198
FOUR,2023,Q1,1.8286,2.6826,0.5049,1.3501,2.2858,1.0278,1.5474,0.8521,2.0358,1.1461
FOUR,2023,Q2,0.7793,1.8261,0.3068,1.391,2.3367,1.0,1.4797,1.2796,3.2595,1.0638
FOUR,2023,FY,0.3118,1.4509,0.2475,0.8684,1.7832,1.0,1.0,1.229,4.0407,1.1516
FOUR,2024,Q3,0.2197,0.4994,0.4966,0.886,0.4639,1.0,1.0,0.929,2.0138,1.1287
FOUR,2024,FY,0.4865,1.4192,0.3222,1.0638,1.8755,1.0,1.1786,1.3216,3.1036,1.1079
FOUR,2025,Q1,0.3362,1.1711,0.3211,0.8941,1.2932,1.0,1.0,1.1043,3.1144,1.1185
FOUR,2025,Q2,0.3255,0.6128,0.4442,1.1956,0.816,1.0,1.363,1.3316,2.2513,1.14
FOUR,2025,Q3,1.3428,1.8867,0.7076,1.0058,1.7425,1.0292,1.1131,0.9236,1.4544,1.1066
FOUR,2025,FY,0.73,1.0231,0.8157,0.8748,1.6298,1.0364,1.0,1.593,1.2707,1.1431
FOUR,2026,Q1,0.6914,1.0323,0.6983,0.9592,1.5847,1.0108,1.0692,1.5351,1.4476,1.1148
