ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
FRT,2020,Q2,0.2984,1.0,0.3464,0.8616,1.0,1.5882,1.0,1.0,4.5856,1.1607
FRT,2020,Q3,0.1665,1.0,0.1671,0.9967,1.0,1.0639,1.0,1.0,6.3673,1.0033
FRT,2022,Q1,0.1593,0.2348,0.7151,0.9483,1.0,1.2953,1.0,4.2584,1.8113,1.0545
FRT,2022,Q2,0.2646,0.7253,0.4527,0.8058,1.3144,1.0,1.0,1.8121,2.2088,1.241
FRT,2022,Q3,0.273,0.8015,0.3554,0.9583,1.1316,1.0849,1.0,1.4119,3.0526,1.0435
FRT,2022,FY,0.1409,0.2788,0.5053,1.0,1.0,1.1942,1.0,3.5863,2.3635,1.0
FRT,2023,Q1,0.391,0.9754,0.3901,1.0276,1.2516,1.0,1.0,1.2831,2.5635,0.9732
FRT,2023,Q2,0.6703,1.1165,0.5867,1.0233,1.1402,1.3229,1.0,1.0212,2.2549,0.9772
FRT,2023,Q3,0.3484,0.3372,1.1599,0.8907,0.3923,2.331,1.0,1.1634,2.0096,1.1227
FRT,2023,FY,0.5897,1.1297,0.3987,1.3092,1.2859,1.0,1.0,1.1383,2.5083,0.7638
FRT,2024,Q2,0.7582,1.4201,0.5629,0.9484,1.121,2.325,1.0,0.7894,4.1306,1.0544
FRT,2024,Q3,1.0316,3.3002,0.2988,1.0461,3.0731,1.0,1.0,0.9312,3.3466,0.9559
FRT,2024,FY,0.7503,1.2003,0.5946,1.0513,1.1904,1.4736,1.0,0.9918,2.4782,0.9512
FRT,2025,Q1,0.4648,0.7653,0.5057,1.2009,1.0669,1.0,1.0,1.3941,1.9773,0.8327
FRT,2025,Q2,0.8978,0.5948,1.5293,0.987,1.0523,2.002,1.0,1.7692,1.3091,1.0132
FRT,2025,Q3,1.9495,0.2944,6.5763,1.0068,0.3835,7.8752,1.0,1.3024,1.1975,0.9933
FRT,2026,Q1,1.3349,0.8056,1.5454,1.0722,1.1708,1.8948,1.0,1.4533,1.226,0.9327
