ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
FSLR,2020,Q3,0.5589,1.0,0.4263,1.311,1.0,1.0,1.5647,1.0,2.3458,1.1935
FSLR,2021,Q2,0.047,0.1191,0.4693,0.8416,1.0,1.2479,1.0,8.3952,2.659,1.1882
FSLR,2021,Q3,0.091,0.2809,0.2222,1.4583,2.1735,1.0,1.621,7.7389,4.5013,1.1116
FSLR,2022,Q1,0.0501,0.0857,0.4352,1.3414,1.0,1.0,1.5972,11.6625,2.2975,1.1907
FSLR,2022,Q2,0.165,0.9162,0.1884,0.9561,2.23,1.2561,1.0,2.4341,6.6682,1.046
FSLR,2022,FY,0.3039,0.9065,0.4017,0.8347,1.0,1.1722,1.0,1.1032,2.9185,1.198
FSLR,2023,Q2,0.3201,0.7413,0.3068,1.4074,0.9486,1.0,1.4973,1.2796,3.2595,1.0638
FSLR,2023,Q3,0.1968,0.4392,0.3267,1.3717,0.3974,1.5039,1.4719,0.9047,4.6026,1.0731
FSLR,2023,FY,0.2245,0.8773,0.2947,0.8684,1.0782,1.1909,1.0,1.229,4.0407,1.1516
FSLR,2024,Q1,0.6236,1.2803,0.5599,0.87,1.4938,1.0842,1.0,1.1668,1.9363,1.1495
FSLR,2024,Q2,0.8621,1.8019,0.4107,1.1649,1.3279,1.0,1.306,0.7369,2.4348,1.1212
FSLR,2024,FY,0.3166,1.0887,0.3222,0.9026,1.4388,1.0,1.0,1.3216,3.1036,1.1079
FSLR,2025,Q1,0.4984,1.3949,0.3211,1.1129,1.5404,1.0,1.2447,1.1043,3.1144,1.1185
FSLR,2025,Q2,0.3201,0.4566,0.6452,1.0867,0.608,1.4526,1.2388,1.3316,2.2513,1.14
FSLR,2025,Q3,4.2301,4.78,0.7893,1.1212,4.4147,1.148,1.2407,0.9236,1.4544,1.1066
FSLR,2025,FY,0.7583,0.779,1.1128,0.8748,1.2409,1.414,1.0,1.593,1.2707,1.1431
FSLR,2026,Q1,1.0216,0.8055,1.0341,1.2266,1.2364,1.4969,1.3674,1.5351,1.4476,1.1148
