ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
GEHC,2023,Q1,0.2635,0.6567,0.4814,0.8335,1.0,1.102,1.0,1.5229,2.2891,1.1997
GEHC,2023,Q2,0.1805,0.5789,0.3265,0.9549,1.0,1.0,1.0682,1.7276,3.0625,1.1187
GEHC,2023,Q3,0.3165,0.9783,0.3534,0.9154,1.0,1.1207,1.0,1.0222,3.1712,1.0925
GEHC,2023,FY,0.2317,0.7511,0.3359,0.9184,1.0,1.1465,1.0,1.3314,3.413,1.0888
GEHC,2024,Q1,0.3718,1.3604,0.2827,0.9666,1.0707,1.0875,1.019,0.787,3.8462,1.0542
GEHC,2024,Q3,0.6439,1.5201,0.4714,0.8985,1.0538,1.0,1.0,0.6932,2.1212,1.113
GEHC,2024,FY,0.2926,0.8454,0.4193,0.8256,1.043,1.1201,1.0,1.2338,2.6715,1.2113
GEHC,2025,Q2,0.4478,0.4672,0.9675,0.9906,0.5257,1.265,1.0507,1.1253,1.3075,1.0607
GEHC,2025,Q3,0.4326,0.5262,0.8299,0.9905,1.0666,1.0992,1.0569,2.0268,1.3245,1.067
GEHC,2025,FY,0.5589,0.8873,1.0519,0.5988,1.1245,1.1166,1.0,1.2674,1.0615,1.67
GEHC,2026,Q1,0.8051,0.8052,0.998,1.0019,1.1034,1.0871,1.0692,1.3704,1.0893,1.0672
