ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
GGG,2020,FY,0.6331,1.0,0.7258,0.8723,1.0,1.2504,1.0,1.0,1.7229,1.1464
GGG,2021,Q1,0.0014,0.007,0.1453,1.3317,1.0,1.0,1.5161,143.2132,6.8836,1.1385
GGG,2021,Q2,0.0959,0.2709,0.2671,1.3257,1.0,1.0,1.4972,3.6914,3.7439,1.1293
GGG,2021,Q3,0.118,0.5497,0.2481,0.8652,1.0,1.0,1.0,1.8193,4.0308,1.1558
GGG,2022,Q3,0.1679,0.4399,0.4301,0.8874,0.4125,1.2712,1.0,0.9378,2.9554,1.1269
GGG,2023,Q1,0.2957,0.843,0.3745,0.9368,1.0884,1.2563,1.0,1.2911,3.3549,1.0674
GGG,2023,Q2,0.7916,1.2037,0.5129,1.2822,1.1035,1.3156,1.4231,0.9167,2.5652,1.1099
GGG,2023,Q3,2.0095,3.0184,0.4532,1.4691,3.347,1.0,1.5153,1.1088,2.2067,1.0314
GGG,2023,FY,0.258,0.8385,0.3828,0.8038,1.2045,1.0,1.0,1.4366,2.6121,1.2441
GGG,2024,Q1,0.6293,1.0252,0.6692,0.9172,1.0715,1.3225,1.0,1.0452,1.9762,1.0902
GGG,2024,Q3,0.5462,0.7329,0.4748,1.5696,0.9605,1.0,1.6478,1.3106,2.1063,1.0499
GGG,2024,FY,0.462,0.9284,0.5414,0.919,1.0784,1.2737,1.0,1.1616,2.3526,1.0881
GGG,2025,Q1,0.4701,0.94,0.3459,1.4458,0.9974,1.0,1.5335,1.0611,2.891,1.0606
GGG,2025,Q2,0.5826,0.7842,0.7991,0.9296,0.9886,1.3164,1.0,1.2606,1.6473,1.0757
GGG,2025,Q3,0.563,0.3603,1.1325,1.3799,0.3473,1.3392,1.4706,0.9639,1.1825,1.0657
GGG,2025,FY,0.6751,0.752,1.128,0.7959,1.0434,1.3043,1.0,1.3875,1.1563,1.2565
GGG,2026,Q1,1.1188,0.7151,1.0781,1.4511,1.0225,1.2811,1.5263,1.4297,1.1883,1.0518
GGG,2026,Q2,2.0385,1.0674,1.3252,1.441,1.0674,1.3252,1.441,1.0,1.0,1.0
