ticker,year,fp,K,KI,KR,KF,IA,RA,FA,IS,RS,FS
GIS,2021,Q1,0.0032,0.0163,0.2184,0.894,1.0,1.0,0.8893,61.3575,4.5793,0.9948
GIS,2022,Q3,0.3102,0.5839,0.5279,1.0064,1.0,1.0,1.0,1.7126,1.8942,0.9937
GIS,2022,FY,0.346,0.699,0.5659,0.8745,1.0,1.0,1.0,1.4306,1.767,1.1435
GIS,2023,Q2,0.1941,0.9118,0.237,0.8981,1.0,1.0,0.8334,1.0968,4.2197,0.928
GIS,2023,Q3,0.1428,0.1897,0.7303,1.0308,0.3336,1.0,1.0,1.7583,1.3693,0.9701
GIS,2023,FY,0.5812,1.0897,0.6075,0.8779,1.0774,1.0,1.0,0.9887,1.646,1.1391
GIS,2024,Q3,1.2585,5.6059,0.2292,0.9793,3.3198,1.0381,1.0,0.5922,4.5286,1.0211
GIS,2024,FY,0.5601,0.9299,0.6881,0.8754,1.0284,1.0,0.8823,1.106,1.4533,1.008
GIS,2025,Q2,0.3056,0.4892,0.6266,0.9969,0.9844,1.0,1.0,2.0121,1.5959,1.0031
GIS,2025,Q3,0.9723,1.1731,0.8363,0.9911,1.0053,1.1486,1.0,0.8569,1.3734,1.009
GIS,2025,FY,2.5933,2.6787,0.8877,1.0906,3.8741,1.0,1.0,1.4463,1.1265,0.917
GIS,2026,Q1,0.6947,0.9042,0.886,0.8671,1.0352,1.3634,0.8699,1.1448,1.5388,1.0032
GIS,2026,Q2,1.2329,0.9458,1.4991,0.8696,0.9458,1.4991,0.8696,1.0,1.0,1.0
GIS,2026,FY,0.2044,0.2366,0.9818,0.8801,0.2366,0.9818,0.8801,1.0,1.0,1.0
